 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element:  K,  Z =  19,  atomic weight = 3.90983E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 3.63164E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 19
 #
 # Total elastic cross section = 1.53579E-18 cm**2 = 5.48441E-02 a0**2
 # 1st transport cross section = 3.13035E-23 cm**2 = 1.11787E-06 a0**2
 # 2nd transport cross section = 8.90128E-23 cm**2 = 3.17871E-06 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  5.45712E-13  1.94877E+04  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  5.45704E-13  1.94875E+04  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  5.45700E-13  1.94873E+04  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  5.45696E-13  1.94871E+04  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  5.45690E-13  1.94869E+04  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  5.45683E-13  1.94867E+04  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  5.45676E-13  1.94864E+04  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  5.45668E-13  1.94861E+04  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  5.45658E-13  1.94858E+04  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  5.45648E-13  1.94855E+04  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  5.45637E-13  1.94851E+04  0.00000E+00  1.0E-05
  3.500E-04  9.32893E-12  5.45626E-13  1.94846E+04  0.00000E+00  1.0E-05
  3.750E-04  1.07092E-11  5.45613E-13  1.94842E+04  0.00000E+00  1.0E-05
  4.000E-04  1.21847E-11  5.45600E-13  1.94837E+04  0.00000E+00  1.0E-05
  4.250E-04  1.37554E-11  5.45585E-13  1.94832E+04  0.00000E+00  1.0E-05
