 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element: Kr,  Z =  36,  atomic weight = 8.38000E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 4.68236E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 36
 #
 # Total elastic cross section = 2.85482E-18 cm**2 = 1.01948E-01 a0**2
 # 1st transport cross section = 1.12276E-22 cm**2 = 4.00944E-06 a0**2
 # 2nd transport cross section = 3.15565E-22 cm**2 = 1.12690E-05 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  3.16485E-13  1.13019E+04  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  3.16484E-13  1.13018E+04  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  3.16483E-13  1.13018E+04  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  3.16483E-13  1.13018E+04  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  3.16482E-13  1.13018E+04  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  3.16482E-13  1.13018E+04  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  3.16481E-13  1.13017E+04  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  3.16480E-13  1.13017E+04  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  3.16479E-13  1.13017E+04  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  3.16478E-13  1.13016E+04  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  3.16477E-13  1.13016E+04  0.00000E+00  1.0E-05
  3.500E-04  9.32893E-12  3.16475E-13  1.13015E+04  0.00000E+00  1.0E-05
  3.750E-04  1.07092E-11  3.16474E-13  1.13015E+04  0.00000E+00  1.0E-05
  4.000E-04  1.21847E-11  3.16473E-13  1.13014E+04  0.00000E+00  1.0E-05
  4.250E-04  1.37554E-11  3.16471E-13  1.13014E+04  0.00000E+00  1.0E-05
  4.500E-04  1.54213E-11  3.16469E-13  1.13013E+04  0.00000E+00  1.0E-05
  4.750E-04  1.71823E-11  3.16468E-13  1.13013E+04  0.00000E+00  1.0E-05
  5.000E-04  1.90386E-11  3.16466E-13  1.13012E+04  0.00000E+00  1.0E-05
  5.250E-04  2.09900E-11  3.16464E-13  1.13011E+04  0.00000E+00  1.0E-05
  5.500E-04  2.30367E-11  3.16462E-13  1.13011E+04  0.00000E+00  1.0E-05
  5.750E-04  2.51785E-11  3.16460E-13  1.13010E+04  0.00000E+00  1.0E-05
  6.000E-04  2.74156E-11  3.16458E-13  1.13009E+04  0.00000E+00  1.0E-05
  6.250E-04  2.97478E-11  3.16455E-13  1.13008E+04  0.00000E+00  1.0E-05
  6.500E-04  3.21752E-11  3.16453E-13  1.13007E+04  0.00000E+00  1.0E-05
  6.750E-04  3.46979E-11  3.16450E-13  1.13006E+04  0.00000E+00  1.0E-05
  7.000E-04  3.73157E-11  3.16448E-13  1.13006E+04  0.00000E+00  1.0E-05
  7.250E-04  4.00286E-11  3.16445E-13  1.13005E+04  0.00000E+00  1.0E-05
  7.500E-04  4.28368E-11  3.16442E-13  1.13004E+04  0.00000E+00  1.0E-05
  7.750E-04  4.57402E-11  3.16440E-13  1.13003E+04  0.00000E+00  1.0E-05
  8.000E-04  4.87388E-11  3.16437E-13  1.13002E+04  0.00000E+00  1.0E-05
  8.250E-04  5.18325E-11  3.16434E-13  1.13000E+04  0.00000E+00  1.0E-05
  8.500E-04  5.50215E-11  3.16430E-13  1.12999E+04  0.00000E+00  1.0E-05
  8.750E-04  5.83057E-11  3.16427E-13  1.12998E+04  0.00000E+00  1.0E-05
  9.000E-04  6.16850E-11  3.16424E-13  1.12997E+04  0.00000E+00  1.0E-05
  9.250E-04  6.51595E-11  3.16420E-13  1.12996E+04  0.00000E+00  1.0E-05
  9.500E-04  6.87293E-11  3.16417E-13  1.12994E+04  0.00000E+00  1.0E-05
  9.750E-04  7.23943E-11  3.16413E-13  1.12993E+04  0.00000E+00  1.0E-05
  1.000E-03  7.61544E-11  3.16409E-13  1.12992E+04  0.00000E+00  1.0E-05
  1.250E-03  1.18991E-10  3.16367E-13  1.12977E+04  0.00000E+00  1.0E-05
  1.500E-03  1.71347E-10  3.16315E-13  1.12958E+04  0.00000E+00  1.0E-05
  1.750E-03  2.33223E-10  3.16254E-13  1.12936E+04  0.00000E+00  1.0E-05
  2.000E-03  3.04617E-10  3.16184E-13  1.12911E+04  0.00000E+00  1.0E-05
  2.250E-03  3.85531E-10  3.16104E-13  1.12883E+04  0.00000E+00  1.0E-05
