 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element: Li,  Z =   3,  atomic weight = 6.94100E+00 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 2.04107E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons =  3
 #
 # Total elastic cross section = 1.09164E-19 cm**2 = 3.89833E-03 a0**2
 # 1st transport cross section = 8.27584E-25 cm**2 = 2.95535E-08 a0**2
 # 2nd transport cross section = 2.37681E-24 cm**2 = 8.48775E-08 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  7.33199E-14  2.61830E+03  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  7.33191E-14  2.61827E+03  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  7.33186E-14  2.61825E+03  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  7.33180E-14  2.61823E+03  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  7.33173E-14  2.61821E+03  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  7.33165E-14  2.61818E+03  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  7.33156E-14  2.61815E+03  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  7.33146E-14  2.61811E+03  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  7.33135E-14  2.61807E+03  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  7.33122E-14  2.61803E+03  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  7.33109E-14  2.61798E+03  0.00000E+00  1.0E-05
  3.500E-04  9.32893E-12  7.33095E-14  2.61793E+03  0.00000E+00  1.0E-05
  3.750E-04  1.07092E-11  7.33079E-14  2.61787E+03  0.00000E+00  1.0E-05
