 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element: Lu,  Z =  71,  atomic weight = 1.74967E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 5.98461E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 71
 #
 # Total elastic cross section = 7.29999E-18 cm**2 = 2.60687E-01 a0**2
 # 1st transport cross section = 4.60539E-22 cm**2 = 1.64461E-05 a0**2
 # 2nd transport cross section = 1.24489E-21 cm**2 = 4.44557E-05 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  1.17495E-12  4.19581E+04  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  1.17494E-12  4.19578E+04  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  1.17493E-12  4.19577E+04  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  1.17493E-12  4.19575E+04  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  1.17492E-12  4.19573E+04  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  1.17492E-12  4.19570E+04  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  1.17491E-12  4.19567E+04  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  1.17490E-12  4.19564E+04  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  1.17489E-12  4.19560E+04  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  1.17488E-12  4.19557E+04  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  1.17487E-12  4.19552E+04  0.00000E+00  1.0E-05
  3.500E-04  9.32893E-12  1.17485E-12  4.19548E+04  0.00000E+00  1.0E-05
  3.750E-04  1.07092E-11  1.17484E-12  4.19543E+04  0.00000E+00  1.0E-05
  4.000E-04  1.21847E-11  1.17483E-12  4.19538E+04  0.00000E+00  1.0E-05
  4.250E-04  1.37554E-11  1.17481E-12  4.19532E+04  0.00000E+00  1.0E-05
  4.500E-04  1.54213E-11  1.17479E-12  4.19526E+04  0.00000E+00  1.0E-05
  4.750E-04  1.71823E-11  1.17478E-12  4.19520E+04  0.00000E+00  1.0E-05
  5.000E-04  1.90386E-11  1.17476E-12  4.19513E+04  0.00000E+00  1.0E-05
  5.250E-04  2.09900E-11  1.17474E-12  4.19506E+04  0.00000E+00  1.0E-05
  5.500E-04  2.30367E-11  1.17472E-12  4.19499E+04  0.00000E+00  1.0E-05
  5.750E-04  2.51785E-11  1.17470E-12  4.19492E+04  0.00000E+00  1.0E-05
  6.000E-04  2.74156E-11  1.17467E-12  4.19484E+04  0.00000E+00  1.0E-05
  6.250E-04  2.97478E-11  1.17465E-12  4.19475E+04  0.00000E+00  1.0E-05
  6.500E-04  3.21752E-11  1.17463E-12  4.19467E+04  0.00000E+00  1.0E-05
  6.750E-04  3.46979E-11  1.17460E-12  4.19458E+04  0.00000E+00  1.0E-05
  7.000E-04  3.73157E-11  1.17458E-12  4.19448E+04  0.00000E+00  1.0E-05
  7.250E-04  4.00286E-11  1.17455E-12  4.19439E+04  0.00000E+00  1.0E-05
  7.500E-04  4.28368E-11  1.17452E-12  4.19429E+04  0.00000E+00  1.0E-05
  7.750E-04  4.57402E-11  1.17449E-12  4.19419E+04  0.00000E+00  1.0E-05
  8.000E-04  4.87388E-11  1.17446E-12  4.19408E+04  0.00000E+00  1.0E-05
  8.250E-04  5.18325E-11  1.17443E-12  4.19397E+04  0.00000E+00  1.0E-05
  8.500E-04  5.50215E-11  1.17440E-12  4.19386E+04  0.00000E+00  1.0E-05
  8.750E-04  5.83057E-11  1.17437E-12  4.19374E+04  0.00000E+00  1.0E-05
  9.000E-04  6.16850E-11  1.17433E-12  4.19362E+04  0.00000E+00  1.0E-05
  9.250E-04  6.51595E-11  1.17430E-12  4.19350E+04  0.00000E+00  1.0E-05
  9.500E-04  6.87293E-11  1.17426E-12  4.19337E+04  0.00000E+00  1.0E-05
  9.750E-04  7.23943E-11  1.17423E-12  4.19324E+04  0.00000E+00  1.0E-05
  1.000E-03  7.61544E-11  1.17419E-12  4.19310E+04  0.00000E+00  1.0E-05
  1.250E-03  1.18991E-10  1.17376E-12  4.19158E+04  0.00000E+00  1.0E-05
  1.500E-03  1.71347E-10  1.17324E-12  4.18973E+04  0.00000E+00  1.0E-05
  1.750E-03  2.33223E-10  1.17263E-12  4.18753E+04  0.00000E+00  1.0E-05
  2.000E-03  3.04617E-10  1.17192E-12  4.18500E+04  0.00000E+00  1.0E-05
