 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element: Md,  Z = 101,  atomic weight = 2.58000E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.81172E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons =101
 #
 # Total elastic cross section = 1.15441E-17 cm**2 = 4.12247E-01 a0**2
 # 1st transport cross section = 9.80225E-22 cm**2 = 3.50045E-05 a0**2
 # 2nd transport cross section = 2.49693E-21 cm**2 = 8.91670E-05 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  1.56171E-12  5.57695E+04  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  1.56170E-12  5.57692E+04  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  1.56169E-12  5.57690E+04  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  1.56168E-12  5.57688E+04  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  1.56168E-12  5.57685E+04  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  1.56167E-12  5.57682E+04  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  1.56166E-12  5.57678E+04  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  1.56165E-12  5.57675E+04  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  1.56164E-12  5.57670E+04  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  1.56162E-12  5.57665E+04  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  1.56161E-12  5.57660E+04  0.00000E+00  1.0E-05
  3.500E-04  9.32893E-12  1.56159E-12  5.57655E+04  0.00000E+00  1.0E-05
  3.750E-04  1.07092E-11  1.56158E-12  5.57649E+04  0.00000E+00  1.0E-05
  4.000E-04  1.21847E-11  1.56156E-12  5.57642E+04  0.00000E+00  1.0E-05
  4.250E-04  1.37554E-11  1.56154E-12  5.57636E+04  0.00000E+00  1.0E-05
  4.500E-04  1.54213E-11  1.56152E-12  5.57628E+04  0.00000E+00  1.0E-05
  4.750E-04  1.71823E-11  1.56150E-12  5.57621E+04  0.00000E+00  1.0E-05
  5.000E-04  1.90386E-11  1.56147E-12  5.57613E+04  0.00000E+00  1.0E-05
  5.250E-04  2.09900E-11  1.56145E-12  5.57604E+04  0.00000E+00  1.0E-05
  5.500E-04  2.30367E-11  1.56143E-12  5.57595E+04  0.00000E+00  1.0E-05
  5.750E-04  2.51785E-11  1.56140E-12  5.57586E+04  0.00000E+00  1.0E-05
  6.000E-04  2.74156E-11  1.56137E-12  5.57576E+04  0.00000E+00  1.0E-05
  6.250E-04  2.97478E-11  1.56134E-12  5.57566E+04  0.00000E+00  1.0E-05
  6.500E-04  3.21752E-11  1.56132E-12  5.57556E+04  0.00000E+00  1.0E-05
