 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element: Nd,  Z =  60,  atomic weight = 1.44240E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 5.61150E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 60
 #
 # Total elastic cross section = 7.38123E-18 cm**2 = 2.63588E-01 a0**2
 # 1st transport cross section = 3.23427E-22 cm**2 = 1.15498E-05 a0**2
 # 2nd transport cross section = 8.87966E-22 cm**2 = 3.17098E-05 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  1.80537E-12  6.44711E+04  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  1.80536E-12  6.44705E+04  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  1.80535E-12  6.44701E+04  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  1.80534E-12  6.44697E+04  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  1.80532E-12  6.44692E+04  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  1.80531E-12  6.44686E+04  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  1.80529E-12  6.44680E+04  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  1.80527E-12  6.44673E+04  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  1.80525E-12  6.44665E+04  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  1.80522E-12  6.44656E+04  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  1.80519E-12  6.44646E+04  0.00000E+00  1.0E-05
