 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element: Ni,  Z =  28,  atomic weight = 5.86934E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 4.15828E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 28
 #
 # Total elastic cross section = 2.00041E-18 cm**2 = 7.14359E-02 a0**2
 # 1st transport cross section = 6.77601E-23 cm**2 = 2.41976E-06 a0**2
 # 2nd transport cross section = 1.91575E-22 cm**2 = 6.84128E-06 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  2.89398E-13  1.03346E+04  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  2.89396E-13  1.03345E+04  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  2.89396E-13  1.03345E+04  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  2.89395E-13  1.03345E+04  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  2.89394E-13  1.03344E+04  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  2.89393E-13  1.03344E+04  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  2.89391E-13  1.03343E+04  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  2.89390E-13  1.03343E+04  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  2.89388E-13  1.03342E+04  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  2.89386E-13  1.03342E+04  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  2.89384E-13  1.03341E+04  0.00000E+00  1.0E-05
  3.500E-04  9.32893E-12  2.89382E-13  1.03340E+04  0.00000E+00  1.0E-05
  3.750E-04  1.07092E-11  2.89379E-13  1.03339E+04  0.00000E+00  1.0E-05
  4.000E-04  1.21847E-11  2.89377E-13  1.03338E+04  0.00000E+00  1.0E-05
  4.250E-04  1.37554E-11  2.89374E-13  1.03337E+04  0.00000E+00  1.0E-05
  4.500E-04  1.54213E-11  2.89371E-13  1.03336E+04  0.00000E+00  1.0E-05
  4.750E-04  1.71823E-11  2.89368E-13  1.03335E+04  0.00000E+00  1.0E-05
  5.000E-04  1.90386E-11  2.89365E-13  1.03334E+04  0.00000E+00  1.0E-05
  5.250E-04  2.09900E-11  2.89362E-13  1.03333E+04  0.00000E+00  1.0E-05
  5.500E-04  2.30367E-11  2.89358E-13  1.03332E+04  0.00000E+00  1.0E-05
  5.750E-04  2.51785E-11  2.89354E-13  1.03330E+04  0.00000E+00  1.0E-05
  6.000E-04  2.74156E-11  2.89350E-13  1.03329E+04  0.00000E+00  1.0E-05
  6.250E-04  2.97478E-11  2.89346E-13  1.03327E+04  0.00000E+00  1.0E-05
  6.500E-04  3.21752E-11  2.89342E-13  1.03326E+04  0.00000E+00  1.0E-05
  6.750E-04  3.46979E-11  2.89338E-13  1.03324E+04  0.00000E+00  1.0E-05
  7.000E-04  3.73157E-11  2.89333E-13  1.03323E+04  0.00000E+00  1.0E-05
  7.250E-04  4.00286E-11  2.89329E-13  1.03321E+04  0.00000E+00  1.0E-05
  7.500E-04  4.28368E-11  2.89324E-13  1.03319E+04  0.00000E+00  1.0E-05
  7.750E-04  4.57402E-11  2.89319E-13  1.03318E+04  0.00000E+00  1.0E-05
  8.000E-04  4.87388E-11  2.89313E-13  1.03316E+04  0.00000E+00  1.0E-05
  8.250E-04  5.18325E-11  2.89308E-13  1.03314E+04  0.00000E+00  1.0E-05
  8.500E-04  5.50215E-11  2.89303E-13  1.03312E+04  0.00000E+00  1.0E-05
  8.750E-04  5.83057E-11  2.89297E-13  1.03310E+04  0.00000E+00  1.0E-05
  9.000E-04  6.16850E-11  2.89291E-13  1.03308E+04  0.00000E+00  1.0E-05
  9.250E-04  6.51595E-11  2.89285E-13  1.03306E+04  0.00000E+00  1.0E-05
  9.500E-04  6.87293E-11  2.89279E-13  1.03303E+04  0.00000E+00  1.0E-05
  9.750E-04  7.23943E-11  2.89273E-13  1.03301E+04  0.00000E+00  1.0E-05
  1.000E-03  7.61544E-11  2.89266E-13  1.03299E+04  0.00000E+00  1.0E-05
  1.250E-03  1.18991E-10  2.89192E-13  1.03272E+04  0.00000E+00  1.0E-05
  1.500E-03  1.71347E-10  2.89101E-13  1.03240E+04  0.00000E+00  1.0E-05
  1.750E-03  2.33223E-10  2.88994E-13  1.03202E+04  0.00000E+00  1.0E-05
  2.000E-03  3.04617E-10  2.88871E-13  1.03158E+04  0.00000E+00  1.0E-05
