 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element: No,  Z = 102,  atomic weight = 2.59000E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.82051E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons =102
 #
 # Total elastic cross section = 1.15080E-17 cm**2 = 4.10959E-01 a0**2
 # 1st transport cross section = 1.00084E-21 cm**2 = 3.57406E-05 a0**2
 # 2nd transport cross section = 2.54320E-21 cm**2 = 9.08195E-05 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  1.50102E-12  5.36024E+04  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  1.50101E-12  5.36021E+04  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  1.50101E-12  5.36019E+04  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  1.50100E-12  5.36017E+04  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  1.50099E-12  5.36015E+04  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  1.50099E-12  5.36012E+04  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  1.50098E-12  5.36009E+04  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  1.50097E-12  5.36005E+04  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  1.50096E-12  5.36001E+04  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  1.50094E-12  5.35996E+04  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  1.50093E-12  5.35992E+04  0.00000E+00  1.0E-05
  3.500E-04  9.32893E-12  1.50091E-12  5.35986E+04  0.00000E+00  1.0E-05
  3.750E-04  1.07092E-11  1.50090E-12  5.35981E+04  0.00000E+00  1.0E-05
  4.000E-04  1.21847E-11  1.50088E-12  5.35975E+04  0.00000E+00  1.0E-05
  4.250E-04  1.37554E-11  1.50086E-12  5.35968E+04  0.00000E+00  1.0E-05
  4.500E-04  1.54213E-11  1.50085E-12  5.35962E+04  0.00000E+00  1.0E-05
  4.750E-04  1.71823E-11  1.50083E-12  5.35955E+04  0.00000E+00  1.0E-05
  5.000E-04  1.90386E-11  1.50080E-12  5.35947E+04  0.00000E+00  1.0E-05
  5.250E-04  2.09900E-11  1.50078E-12  5.35939E+04  0.00000E+00  1.0E-05
  5.500E-04  2.30367E-11  1.50076E-12  5.35931E+04  0.00000E+00  1.0E-05
  5.750E-04  2.51785E-11  1.50073E-12  5.35922E+04  0.00000E+00  1.0E-05
  6.000E-04  2.74156E-11  1.50071E-12  5.35913E+04  0.00000E+00  1.0E-05
  6.250E-04  2.97478E-11  1.50068E-12  5.35904E+04  0.00000E+00  1.0E-05
  6.500E-04  3.21752E-11  1.50066E-12  5.35894E+04  0.00000E+00  1.0E-05
  6.750E-04  3.46979E-11  1.50063E-12  5.35884E+04  0.00000E+00  1.0E-05
  7.000E-04  3.73157E-11  1.50060E-12  5.35873E+04  0.00000E+00  1.0E-05
  7.250E-04  4.00286E-11  1.50057E-12  5.35862E+04  0.00000E+00  1.0E-05
  7.500E-04  4.28368E-11  1.50053E-12  5.35851E+04  0.00000E+00  1.0E-05
  7.750E-04  4.57402E-11  1.50050E-12  5.35839E+04  0.00000E+00  1.0E-05
  8.000E-04  4.87388E-11  1.50047E-12  5.35827E+04  0.00000E+00  1.0E-05
  8.250E-04  5.18325E-11  1.50043E-12  5.35814E+04  0.00000E+00  1.0E-05
  8.500E-04  5.50215E-11  1.50040E-12  5.35801E+04  0.00000E+00  1.0E-05
  8.750E-04  5.83057E-11  1.50036E-12  5.35788E+04  0.00000E+00  1.0E-05
  9.000E-04  6.16850E-11  1.50032E-12  5.35774E+04  0.00000E+00  1.0E-05
  9.250E-04  6.51595E-11  1.50028E-12  5.35760E+04  0.00000E+00  1.0E-05
  9.500E-04  6.87293E-11  1.50024E-12  5.35746E+04  0.00000E+00  1.0E-05
  9.750E-04  7.23943E-11  1.50020E-12  5.35731E+04  0.00000E+00  1.0E-05
  1.000E-03  7.61544E-11  1.50016E-12  5.35715E+04  0.00000E+00  1.0E-05
  1.250E-03  1.18991E-10  1.49967E-12  5.35542E+04  0.00000E+00  1.0E-05
  1.500E-03  1.71347E-10  1.49908E-12  5.35330E+04  0.00000E+00  1.0E-05
  1.750E-03  2.33223E-10  1.49837E-12  5.35079E+04  0.00000E+00  1.0E-05
  2.000E-03  3.04617E-10  1.49756E-12  5.34790E+04  0.00000E+00  1.0E-05
  2.250E-03  3.85531E-10  1.49665E-12  5.34463E+04  0.00000E+00  1.0E-05
  2.500E-03  4.75965E-10  1.49562E-12  5.34097E+04  0.00000E+00  1.0E-05
  2.750E-03  5.75917E-10  1.49450E-12  5.33694E+04  0.00000E+00  1.0E-05
  3.000E-03  6.85389E-10  1.49326E-12  5.33253E+04  0.00000E+00  1.0E-05
  3.250E-03  8.04380E-10  1.49192E-12  5.32774E+04  0.00000E+00  1.0E-05
  3.500E-03  9.32891E-10  1.49048E-12  5.32258E+04  0.00000E+00  1.0E-05
  3.750E-03  1.07092E-09  1.48893E-12  5.31705E+04  0.00000E+00  1.0E-05
  4.000E-03  1.21847E-09  1.48727E-12  5.31115E+04  0.00000E+00  1.0E-05
  4.250E-03  1.37554E-09  1.48552E-12  5.30488E+04  0.00000E+00  1.0E-05
  4.500E-03  1.54213E-09  1.48366E-12  5.29825E+04  0.00000E+00  1.0E-05
  4.750E-03  1.71823E-09  1.48170E-12  5.29125E+04  0.00000E+00  1.0E-05
  5.000E-03  1.90386E-09  1.47964E-12  5.28389E+04  0.00000E+00  1.0E-05
  5.250E-03  2.09900E-09  1.47748E-12  5.27618E+04  0.00000E+00  1.0E-05
  5.500E-03  2.30367E-09  1.47522E-12  5.26811E+04  0.00000E+00  1.0E-05
  5.750E-03  2.51785E-09  1.47286E-12  5.25970E+04  0.00000E+00  1.0E-05
  6.000E-03  2.74156E-09  1.47041E-12  5.25093E+04  0.00000E+00  1.0E-05
  6.250E-03  2.97478E-09  1.46786E-12  5.24182E+04  0.00000E+00  1.0E-05
  6.500E-03  3.21752E-09  1.46521E-12  5.23237E+04  0.00000E+00  1.0E-05
  6.750E-03  3.46978E-09  1.46247E-12  5.22258E+04  0.00000E+00  1.0E-05
  7.000E-03  3.73156E-09  1.45964E-12  5.21247E+04  0.00000E+00  1.0E-05
  7.250E-03  4.00286E-09  1.45671E-12  5.20202E+04  0.00000E+00  1.0E-05
