 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element: Np,  Z =  93,  atomic weight = 2.37048E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.62210E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 93
 #
 # Total elastic cross section = 1.19390E-17 cm**2 = 4.26351E-01 a0**2
 # 1st transport cross section = 8.22347E-22 cm**2 = 2.93666E-05 a0**2
 # 2nd transport cross section = 2.13375E-21 cm**2 = 7.61977E-05 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  2.24784E-12  8.02718E+04  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  2.24782E-12  8.02713E+04  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  2.24782E-12  8.02709E+04  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  2.24780E-12  8.02706E+04  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  2.24779E-12  8.02701E+04  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  2.24778E-12  8.02696E+04  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  2.24776E-12  8.02690E+04  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  2.24774E-12  8.02684E+04  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  2.24772E-12  8.02677E+04  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  2.24770E-12  8.02669E+04  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  2.24768E-12  8.02660E+04  0.00000E+00  1.0E-05
  3.500E-04  9.32893E-12  2.24765E-12  8.02651E+04  0.00000E+00  1.0E-05
  3.750E-04  1.07092E-11  2.24762E-12  8.02641E+04  0.00000E+00  1.0E-05
  4.000E-04  1.21847E-11  2.24760E-12  8.02631E+04  0.00000E+00  1.0E-05
  4.250E-04  1.37554E-11  2.24756E-12  8.02620E+04  0.00000E+00  1.0E-05
  4.500E-04  1.54213E-11  2.24753E-12  8.02608E+04  0.00000E+00  1.0E-05
  4.750E-04  1.71823E-11  2.24750E-12  8.02595E+04  0.00000E+00  1.0E-05
  5.000E-04  1.90386E-11  2.24746E-12  8.02582E+04  0.00000E+00  1.0E-05
  5.250E-04  2.09900E-11  2.24742E-12  8.02568E+04  0.00000E+00  1.0E-05
  5.500E-04  2.30367E-11  2.24738E-12  8.02553E+04  0.00000E+00  1.0E-05
  5.750E-04  2.51785E-11  2.24733E-12  8.02538E+04  0.00000E+00  1.0E-05
  6.000E-04  2.74156E-11  2.24729E-12  8.02522E+04  0.00000E+00  1.0E-05
  6.250E-04  2.97478E-11  2.24724E-12  8.02505E+04  0.00000E+00  1.0E-05
  6.500E-04  3.21752E-11  2.24719E-12  8.02488E+04  0.00000E+00  1.0E-05
  6.750E-04  3.46979E-11  2.24714E-12  8.02470E+04  0.00000E+00  1.0E-05
  7.000E-04  3.73157E-11  2.24709E-12  8.02451E+04  0.00000E+00  1.0E-05
  7.250E-04  4.00286E-11  2.24704E-12  8.02431E+04  0.00000E+00  1.0E-05
  7.500E-04  4.28368E-11  2.24698E-12  8.02411E+04  0.00000E+00  1.0E-05
  7.750E-04  4.57402E-11  2.24692E-12  8.02391E+04  0.00000E+00  1.0E-05
  8.000E-04  4.87388E-11  2.24686E-12  8.02369E+04  0.00000E+00  1.0E-05
  8.250E-04  5.18325E-11  2.24680E-12  8.02347E+04  0.00000E+00  1.0E-05
  8.500E-04  5.50215E-11  2.24674E-12  8.02324E+04  0.00000E+00  1.0E-05
  8.750E-04  5.83057E-11  2.24667E-12  8.02300E+04  0.00000E+00  1.0E-05
  9.000E-04  6.16850E-11  2.24660E-12  8.02276E+04  0.00000E+00  1.0E-05
  9.250E-04  6.51595E-11  2.24653E-12  8.02251E+04  0.00000E+00  1.0E-05
  9.500E-04  6.87293E-11  2.24646E-12  8.02226E+04  0.00000E+00  1.0E-05
  9.750E-04  7.23943E-11  2.24639E-12  8.02200E+04  0.00000E+00  1.0E-05
  1.000E-03  7.61544E-11  2.24631E-12  8.02173E+04  0.00000E+00  1.0E-05
  1.250E-03  1.18991E-10  2.24545E-12  8.01866E+04  0.00000E+00  1.0E-05
  1.500E-03  1.71347E-10  2.24440E-12  8.01491E+04  0.00000E+00  1.0E-05
  1.750E-03  2.33223E-10  2.24316E-12  8.01049E+04  0.00000E+00  1.0E-05
  2.000E-03  3.04617E-10  2.24174E-12  8.00538E+04  0.00000E+00  1.0E-05
  2.250E-03  3.85531E-10  2.24012E-12  7.99961E+04  0.00000E+00  1.0E-05
  2.500E-03  4.75965E-10  2.23831E-12  7.99316E+04  0.00000E+00  1.0E-05
  2.750E-03  5.75917E-10  2.23632E-12  7.98604E+04  0.00000E+00  1.0E-05
  3.000E-03  6.85389E-10  2.23414E-12  7.97826E+04  0.00000E+00  1.0E-05
  3.250E-03  8.04380E-10  2.23178E-12  7.96982E+04  0.00000E+00  1.0E-05
  3.500E-03  9.32891E-10  2.22923E-12  7.96071E+04  0.00000E+00  1.0E-05
  3.750E-03  1.07092E-09  2.22649E-12  7.95095E+04  0.00000E+00  1.0E-05
  4.000E-03  1.21847E-09  2.22358E-12  7.94054E+04  0.00000E+00  1.0E-05
  4.250E-03  1.37554E-09  2.22048E-12  7.92949E+04  0.00000E+00  1.0E-05
  4.500E-03  1.54213E-09  2.21721E-12  7.91779E+04  0.00000E+00  1.0E-05
  4.750E-03  1.71823E-09  2.21375E-12  7.90545E+04  0.00000E+00  1.0E-05
  5.000E-03  1.90386E-09  2.21012E-12  7.89249E+04  0.00000E+00  1.0E-05
  5.250E-03  2.09900E-09  2.20631E-12  7.87889E+04  0.00000E+00  1.0E-05
  5.500E-03  2.30367E-09  2.20233E-12  7.86468E+04  0.00000E+00  1.0E-05
  5.750E-03  2.51785E-09  2.19818E-12  7.84985E+04  0.00000E+00  1.0E-05
  6.000E-03  2.74156E-09  2.19386E-12  7.83441E+04  0.00000E+00  1.0E-05
  6.250E-03  2.97478E-09  2.18937E-12  7.81837E+04  0.00000E+00  1.0E-05
  6.500E-03  3.21752E-09  2.18471E-12  7.80173E+04  0.00000E+00  1.0E-05
  6.750E-03  3.46978E-09  2.17988E-12  7.78451E+04  0.00000E+00  1.0E-05
  7.000E-03  3.73156E-09  2.17490E-12  7.76670E+04  0.00000E+00  1.0E-05
  7.250E-03  4.00286E-09  2.16975E-12  7.74832E+04  0.00000E+00  1.0E-05
  7.500E-03  4.28368E-09  2.16444E-12  7.72937E+04  0.00000E+00  1.0E-05
  7.750E-03  4.57402E-09  2.15898E-12  7.70986E+04  0.00000E+00  1.0E-05
  8.000E-03  4.87388E-09  2.15336E-12  7.68979E+04  0.00000E+00  1.0E-05
  8.250E-03  5.18326E-09  2.14759E-12  7.66919E+04  0.00000E+00  1.0E-05
  8.500E-03  5.50215E-09  2.14167E-12  7.64804E+04  0.00000E+00  1.0E-05
  8.750E-03  5.83057E-09  2.13560E-12  7.62637E+04  0.00000E+00  1.0E-05
  9.000E-03  6.16850E-09  2.12939E-12  7.60418E+04  0.00000E+00  1.0E-05
  9.250E-03  6.51596E-09  2.12303E-12  7.58148E+04  0.00000E+00  1.0E-05
  9.500E-03  6.87293E-09  2.11653E-12  7.55828E+04  0.00000E+00  1.0E-05
  9.750E-03  7.23942E-09  2.10990E-12  7.53458E+04  0.00000E+00  1.0E-05
  1.000E-02  7.61544E-09  2.10313E-12  7.51040E+04  0.00000E+00  1.0E-05
  1.250E-02  1.18991E-08  2.02852E-12  7.24399E+04  0.00000E+00  1.0E-05
  1.500E-02  1.71347E-08  1.94338E-12  6.93994E+04  0.00000E+00  1.0E-05
  1.750E-02  2.33223E-08  1.85037E-12  6.60780E+04  0.00000E+00  1.0E-05
  2.000E-02  3.04617E-08  1.75224E-12  6.25736E+04  0.00000E+00  1.0E-05
  2.250E-02  3.85531E-08  1.65164E-12  5.89811E+04  0.00000E+00  1.0E-05
  2.500E-02  4.75965E-08  1.55079E-12  5.53796E+04  0.00000E+00  1.0E-05
  2.750E-02  5.75917E-08  1.45144E-12  5.18319E+04  0.00000E+00  1.0E-05
  3.000E-02  6.85389E-08  1.35506E-12  4.83900E+04  0.00000E+00  1.0E-05
  3.250E-02  8.04380E-08  1.26285E-12  4.50971E+04  0.00000E+00  1.0E-05
  3.500E-02  9.32891E-08  1.17560E-12  4.19816E+04  0.00000E+00  1.0E-05
  3.750E-02  1.07092E-07  1.09362E-12  3.90538E+04  0.00000E+00  1.0E-05
  4.000E-02  1.21847E-07  1.01710E-12  3.63214E+04  0.00000E+00  1.0E-05
  4.250E-02  1.37554E-07  9.46141E-13  3.37873E+04  0.00000E+00  1.0E-05
  4.500E-02  1.54213E-07  8.80672E-13  3.14494E+04  0.00000E+00  1.0E-05
  4.750E-02  1.71823E-07  8.20327E-13  2.92944E+04  0.00000E+00  1.0E-05
  5.000E-02  1.90386E-07  7.64836E-13  2.73128E+04  0.00000E+00  1.0E-05
  5.250E-02  2.09900E-07  7.13895E-13  2.54937E+04  0.00000E+00  1.0E-05
  5.500E-02  2.30367E-07  6.67169E-13  2.38250E+04  0.00000E+00  1.0E-05
  5.750E-02  2.51785E-07  6.24265E-13  2.22929E+04  0.00000E+00  1.0E-05
  6.000E-02  2.74156E-07  5.84869E-13  2.08860E+04  0.00000E+00  1.0E-05
  6.250E-02  2.97478E-07  5.48677E-13  1.95936E+04  0.00000E+00  1.0E-05
  6.500E-02  3.21752E-07  5.15335E-13  1.84029E+04  0.00000E+00  1.0E-05
  6.750E-02  3.46978E-07  4.84596E-13  1.73052E+04  0.00000E+00  1.0E-05
  7.000E-02  3.73156E-07  4.56237E-13  1.62925E+04  0.00000E+00  1.0E-05
  7.250E-02  4.00286E-07  4.30041E-13  1.53570E+04  0.00000E+00  1.0E-05
  7.500E-02  4.28368E-07  4.05737E-13  1.44891E+04  0.00000E+00  1.0E-05
  7.750E-02  4.57402E-07  3.83164E-13  1.36830E+04  0.00000E+00  1.0E-05
  8.000E-02  4.87388E-07  3.62208E-13  1.29347E+04  0.00000E+00  1.0E-05
  8.250E-02  5.18325E-07  3.42724E-13  1.22389E+04  0.00000E+00  1.0E-05
  8.500E-02  5.50215E-07  3.24536E-13  1.15894E+04  0.00000E+00  1.0E-05
  8.750E-02  5.83057E-07  3.07513E-13  1.09815E+04  0.00000E+00  1.0E-05
  9.000E-02  6.16850E-07  2.91618E-13  1.04139E+04  0.00000E+00  1.0E-05
  9.250E-02  6.51596E-07  2.76758E-13  9.88322E+03  0.00000E+00  1.0E-05
  9.500E-02  6.87293E-07  2.62828E-13  9.38575E+03  0.00000E+00  1.0E-05
  9.750E-02  7.23942E-07  2.49702E-13  8.91701E+03  0.00000E+00  1.0E-05
  1.000E-01  7.61543E-07  2.37392E-13  8.47741E+03  0.00000E+00  1.0E-05
  1.250E-01  1.18991E-06  1.47329E-13  5.26122E+03  0.00000E+00  1.0E-05
  1.500E-01  1.71347E-06  9.45514E-14  3.37649E+03  0.00000E+00  1.0E-05
  1.750E-01  2.33223E-06  6.42017E-14  2.29269E+03  0.00000E+00  1.0E-05
  2.000E-01  3.04617E-06  4.52462E-14  1.61577E+03  0.00000E+00  1.0E-05
  2.250E-01  3.85531E-06  3.27277E-14  1.16873E+03  0.00000E+00  1.0E-05
  2.500E-01  4.75964E-06  2.42864E-14  8.67281E+02  0.00000E+00  1.0E-05
  2.750E-01  5.75916E-06  1.84597E-14  6.59209E+02  0.00000E+00  1.0E-05
  3.000E-01  6.85388E-06  1.43097E-14  5.11009E+02  0.00000E+00  1.0E-05
  3.250E-01  8.04378E-06  1.12589E-14  4.02064E+02  0.00000E+00  1.0E-05
  3.500E-01  9.32888E-06  8.97705E-15  3.20576E+02  0.00000E+00  1.0E-05
  3.750E-01  1.07092E-05  7.25956E-15  2.59243E+02  0.00000E+00  1.0E-05
  4.000E-01  1.21846E-05  5.94352E-15  2.12247E+02  0.00000E+00  1.0E-05
  4.250E-01  1.37553E-05  4.91719E-15  1.75596E+02  0.00000E+00  1.0E-05
  4.500E-01  1.54212E-05  4.10214E-15  1.46490E+02  0.00000E+00  1.0E-05
  4.750E-01  1.71822E-05  3.45333E-15  1.23321E+02  0.00000E+00  1.0E-05
  5.000E-01  1.90385E-05  2.92828E-15  1.04571E+02  0.00000E+00  1.0E-05
  5.250E-01  2.09899E-05  2.50458E-15  8.94402E+01  0.00000E+00  1.0E-05
  5.500E-01  2.30365E-05  2.15203E-15  7.68505E+01  0.00000E+00  1.0E-05
  5.750E-01  2.51783E-05  1.85930E-15  6.63969E+01  0.00000E+00  1.0E-05
  6.000E-01  2.74153E-05  1.61444E-15  5.76526E+01  0.00000E+00  1.0E-05
  6.250E-01  2.97475E-05  1.40843E-15  5.02961E+01  0.00000E+00  1.0E-05
  6.500E-01  3.21749E-05  1.23387E-15  4.40624E+01  0.00000E+00  1.0E-05
  6.750E-01  3.46974E-05  1.08462E-15  3.87325E+01  0.00000E+00  1.0E-05
  7.000E-01  3.73152E-05  9.57239E-16  3.41836E+01  0.00000E+00  1.0E-05
  7.250E-01  4.00281E-05  8.48258E-16  3.02918E+01  0.00000E+00  1.0E-05
  7.500E-01  4.28362E-05  7.54320E-16  2.69373E+01  0.00000E+00  1.0E-05
  7.750E-01  4.57395E-05  6.73105E-16  2.40370E+01  0.00000E+00  1.0E-05
  8.000E-01  4.87380E-05  6.02660E-16  2.15214E+01  0.00000E+00  1.0E-05
  8.250E-01  5.18317E-05  5.41279E-16  1.93294E+01  0.00000E+00  1.0E-05
  8.500E-01  5.50205E-05  4.87491E-16  1.74086E+01  0.00000E+00  1.0E-05
  8.750E-01  5.83045E-05  4.40176E-16  1.57190E+01  0.00000E+00  1.0E-05
  9.000E-01  6.16838E-05  3.98524E-16  1.42316E+01  0.00000E+00  1.0E-05
  9.250E-01  6.51582E-05  3.61738E-16  1.29179E+01  0.00000E+00  1.0E-05
  9.500E-01  6.87277E-05  3.29124E-16  1.17532E+01  0.00000E+00  1.0E-05
  9.750E-01  7.23925E-05  3.00091E-16  1.07164E+01  0.00000E+00  1.0E-05
  1.000E+00  7.61524E-05  2.74233E-16  9.79305E+00  0.00000E+00  1.3E-05
  1.100E+00  9.21439E-05  1.95153E-16  6.96903E+00  0.00000E+00  9.9E-06
  1.200E+00  1.09658E-04  1.42781E-16  5.09881E+00  0.00000E+00  5.4E-06
  1.300E+00  1.28695E-04  1.06881E-16  3.81678E+00  0.00000E+00  1.1E-06
  1.400E+00  1.49255E-04  8.15404E-17  2.91186E+00  0.00000E+00  2.1E-06
  1.500E+00  1.71338E-04  6.33554E-17  2.26246E+00  0.00000E+00  3.8E-06
  1.600E+00  1.94942E-04  5.00015E-17  1.78558E+00  0.00000E+00  4.1E-06
  1.700E+00  2.20070E-04  4.00017E-17  1.42849E+00  0.00000E+00  3.3E-06
  1.800E+00  2.46720E-04  3.23797E-17  1.15630E+00  0.00000E+00  1.8E-06
  1.900E+00  2.74892E-04  2.65080E-17  9.46616E-01  0.00000E+00  3.0E-07
  2.000E+00  3.04586E-04  2.19195E-17  7.82760E-01  0.00000E+00  9.6E-07
  2.100E+00  3.35803E-04  1.82895E-17  6.53131E-01  0.00000E+00  1.7E-06
  2.200E+00  3.68542E-04  1.53763E-17  5.49097E-01  0.00000E+00  1.8E-06
  2.300E+00  4.02802E-04  1.30239E-17  4.65093E-01  0.00000E+00  1.5E-06
  2.400E+00  4.38585E-04  1.11064E-17  3.96617E-01  0.00000E+00  8.4E-07
  2.500E+00  4.75889E-04  9.52962E-18  3.40309E-01  0.00000E+00  1.0E-07
  2.600E+00  5.14715E-04  8.22076E-18  2.93569E-01  0.00000E+00  5.5E-07
  2.700E+00  5.55063E-04  7.12874E-18  2.54572E-01  0.00000E+00  9.3E-07
  2.800E+00  5.96931E-04  6.21238E-18  2.21848E-01  0.00000E+00  1.0E-06
  2.900E+00  6.40321E-04  5.43868E-18  1.94219E-01  0.00000E+00  8.2E-07
  3.000E+00  6.85233E-04  4.78094E-18  1.70730E-01  0.00000E+00  4.4E-07
  3.100E+00  7.31665E-04  4.21947E-18  1.50680E-01  0.00000E+00  1.0E-07
  3.200E+00  7.79618E-04  3.73820E-18  1.33493E-01  0.00000E+00  3.5E-07
  3.300E+00  8.29092E-04  3.32378E-18  1.18694E-01  0.00000E+00  5.8E-07
  3.400E+00  8.80086E-04  2.96509E-18  1.05885E-01  0.00000E+00  6.2E-07
  3.500E+00  9.32601E-04  2.65348E-18  9.47573E-02  0.00000E+00  4.9E-07
  3.600E+00  9.86636E-04  2.38191E-18  8.50594E-02  0.00000E+00  2.6E-07
  3.700E+00  1.04219E-03  2.14433E-18  7.65754E-02  0.00000E+00  1.0E-07
  3.800E+00  1.09927E-03  1.93574E-18  6.91265E-02  0.00000E+00  2.5E-07
  3.900E+00  1.15786E-03  1.75190E-18  6.25614E-02  0.00000E+00  3.9E-07
  4.000E+00  1.21797E-03  1.58949E-18  5.67618E-02  0.00000E+00  4.1E-07
  4.100E+00  1.27961E-03  1.44558E-18  5.16225E-02  0.00000E+00  3.2E-07
