 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element: Os,  Z =  76,  atomic weight = 1.90230E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.15380E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 76
 #
 # Total elastic cross section = 7.80414E-18 cm**2 = 2.78691E-01 a0**2
 # 1st transport cross section = 5.32440E-22 cm**2 = 1.90138E-05 a0**2
 # 2nd transport cross section = 1.42766E-21 cm**2 = 5.09825E-05 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  9.13385E-13  3.26176E+04  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  9.13382E-13  3.26174E+04  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  9.13380E-13  3.26174E+04  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  9.13377E-13  3.26173E+04  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  9.13375E-13  3.26172E+04  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  9.13371E-13  3.26171E+04  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  9.13368E-13  3.26170E+04  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  9.13364E-13  3.26168E+04  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  9.13359E-13  3.26167E+04  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  9.13354E-13  3.26165E+04  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  9.13349E-13  3.26163E+04  0.00000E+00  1.0E-05
  3.500E-04  9.32893E-12  9.13343E-13  3.26161E+04  0.00000E+00  1.0E-05
  3.750E-04  1.07092E-11  9.13337E-13  3.26159E+04  0.00000E+00  1.0E-05
  4.000E-04  1.21847E-11  9.13331E-13  3.26156E+04  0.00000E+00  1.0E-05
  4.250E-04  1.37554E-11  9.13324E-13  3.26154E+04  0.00000E+00  1.0E-05
  4.500E-04  1.54213E-11  9.13316E-13  3.26151E+04  0.00000E+00  1.0E-05
  4.750E-04  1.71823E-11  9.13308E-13  3.26148E+04  0.00000E+00  1.0E-05
  5.000E-04  1.90386E-11  9.13300E-13  3.26145E+04  0.00000E+00  1.0E-05
  5.250E-04  2.09900E-11  9.13291E-13  3.26142E+04  0.00000E+00  1.0E-05
  5.500E-04  2.30367E-11  9.13282E-13  3.26139E+04  0.00000E+00  1.0E-05
  5.750E-04  2.51785E-11  9.13273E-13  3.26136E+04  0.00000E+00  1.0E-05
