 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element:  P,  Z =  15,  atomic weight = 3.09738E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 3.36033E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 15
 #
 # Total elastic cross section = 9.91916E-19 cm**2 = 3.54220E-02 a0**2
 # 1st transport cross section = 1.95474E-23 cm**2 = 6.98051E-07 a0**2
 # 2nd transport cross section = 5.57061E-23 cm**2 = 1.98930E-06 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  2.03571E-13  7.26966E+03  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  2.03570E-13  7.26963E+03  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  2.03570E-13  7.26962E+03  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  2.03569E-13  7.26959E+03  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  2.03569E-13  7.26957E+03  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  2.03568E-13  7.26954E+03  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  2.03567E-13  7.26951E+03  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  2.03566E-13  7.26948E+03  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  2.03565E-13  7.26944E+03  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  2.03564E-13  7.26940E+03  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  2.03563E-13  7.26935E+03  0.00000E+00  1.0E-05
  3.500E-04  9.32893E-12  2.03561E-13  7.26930E+03  0.00000E+00  1.0E-05
  3.750E-04  1.07092E-11  2.03560E-13  7.26925E+03  0.00000E+00  1.0E-05
  4.000E-04  1.21847E-11  2.03558E-13  7.26919E+03  0.00000E+00  1.0E-05
  4.250E-04  1.37554E-11  2.03556E-13  7.26913E+03  0.00000E+00  1.0E-05
  4.500E-04  1.54213E-11  2.03555E-13  7.26907E+03  0.00000E+00  1.0E-05
  4.750E-04  1.71823E-11  2.03553E-13  7.26900E+03  0.00000E+00  1.0E-05
  5.000E-04  1.90386E-11  2.03551E-13  7.26893E+03  0.00000E+00  1.0E-05
