 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element: Pm,  Z =  61,  atomic weight = 1.44913E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 5.62021E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 61
 #
 # Total elastic cross section = 7.36319E-18 cm**2 = 2.62944E-01 a0**2
 # 1st transport cross section = 3.34817E-22 cm**2 = 1.19565E-05 a0**2
 # 2nd transport cross section = 9.18058E-22 cm**2 = 3.27844E-05 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  1.72441E-12  6.15797E+04  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  1.72439E-12  6.15791E+04  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  1.72438E-12  6.15788E+04  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  1.72437E-12  6.15784E+04  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  1.72436E-12  6.15779E+04  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  1.72434E-12  6.15774E+04  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  1.72433E-12  6.15768E+04  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  1.72431E-12  6.15761E+04  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  1.72429E-12  6.15754E+04  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  1.72426E-12  6.15746E+04  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  1.72424E-12  6.15737E+04  0.00000E+00  1.0E-05
  3.500E-04  9.32893E-12  1.72421E-12  6.15727E+04  0.00000E+00  1.0E-05
