 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element: Pr,  Z =  59,  atomic weight = 1.40908E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 5.56795E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 59
 #
 # Total elastic cross section = 7.39429E-18 cm**2 = 2.64055E-01 a0**2
 # 1st transport cross section = 3.12259E-22 cm**2 = 1.11510E-05 a0**2
 # 2nd transport cross section = 8.58369E-22 cm**2 = 3.06529E-05 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  1.89241E-12  6.75793E+04  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  1.89240E-12  6.75787E+04  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  1.89239E-12  6.75783E+04  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  1.89237E-12  6.75779E+04  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  1.89236E-12  6.75774E+04  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  1.89234E-12  6.75767E+04  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  1.89232E-12  6.75760E+04  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  1.89230E-12  6.75753E+04  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  1.89228E-12  6.75744E+04  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  1.89225E-12  6.75735E+04  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  1.89222E-12  6.75724E+04  0.00000E+00  1.0E-05
  3.500E-04  9.32893E-12  1.89219E-12  6.75713E+04  0.00000E+00  1.0E-05
  3.750E-04  1.07092E-11  1.89216E-12  6.75701E+04  0.00000E+00  1.0E-05
  4.000E-04  1.21847E-11  1.89212E-12  6.75689E+04  0.00000E+00  1.0E-05
  4.250E-04  1.37554E-11  1.89208E-12  6.75675E+04  0.00000E+00  1.0E-05
  4.500E-04  1.54213E-11  1.89204E-12  6.75661E+04  0.00000E+00  1.0E-05
  4.750E-04  1.71823E-11  1.89200E-12  6.75645E+04  0.00000E+00  1.0E-05
  5.000E-04  1.90386E-11  1.89196E-12  6.75629E+04  0.00000E+00  1.0E-05
  5.250E-04  2.09900E-11  1.89191E-12  6.75613E+04  0.00000E+00  1.0E-05
  5.500E-04  2.30367E-11  1.89186E-12  6.75595E+04  0.00000E+00  1.0E-05
  5.750E-04  2.51785E-11  1.89181E-12  6.75576E+04  0.00000E+00  1.0E-05
  6.000E-04  2.74156E-11  1.89175E-12  6.75557E+04  0.00000E+00  1.0E-05
