 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element: Pt,  Z =  78,  atomic weight = 1.95078E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.20564E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 78
 #
 # Total elastic cross section = 7.75463E-18 cm**2 = 2.76923E-01 a0**2
 # 1st transport cross section = 5.62826E-22 cm**2 = 2.00989E-05 a0**2
 # 2nd transport cross section = 1.50392E-21 cm**2 = 5.37058E-05 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  7.35448E-13  2.62633E+04  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  7.35446E-13  2.62633E+04  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  7.35445E-13  2.62632E+04  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  7.35443E-13  2.62632E+04  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  7.35442E-13  2.62631E+04  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  7.35440E-13  2.62630E+04  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  7.35438E-13  2.62630E+04  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  7.35435E-13  2.62629E+04  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  7.35432E-13  2.62628E+04  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  7.35429E-13  2.62627E+04  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  7.35426E-13  2.62625E+04  0.00000E+00  1.0E-05
  3.500E-04  9.32893E-12  7.35422E-13  2.62624E+04  0.00000E+00  1.0E-05
  3.750E-04  1.07092E-11  7.35419E-13  2.62623E+04  0.00000E+00  1.0E-05
  4.000E-04  1.21847E-11  7.35414E-13  2.62621E+04  0.00000E+00  1.0E-05
  4.250E-04  1.37554E-11  7.35410E-13  2.62620E+04  0.00000E+00  1.0E-05
  4.500E-04  1.54213E-11  7.35405E-13  2.62618E+04  0.00000E+00  1.0E-05
  4.750E-04  1.71823E-11  7.35401E-13  2.62616E+04  0.00000E+00  1.0E-05
  5.000E-04  1.90386E-11  7.35395E-13  2.62614E+04  0.00000E+00  1.0E-05
  5.250E-04  2.09900E-11  7.35390E-13  2.62613E+04  0.00000E+00  1.0E-05
  5.500E-04  2.30367E-11  7.35384E-13  2.62610E+04  0.00000E+00  1.0E-05
  5.750E-04  2.51785E-11  7.35378E-13  2.62608E+04  0.00000E+00  1.0E-05
  6.000E-04  2.74156E-11  7.35372E-13  2.62606E+04  0.00000E+00  1.0E-05
  6.250E-04  2.97478E-11  7.35366E-13  2.62604E+04  0.00000E+00  1.0E-05
  6.500E-04  3.21752E-11  7.35359E-13  2.62601E+04  0.00000E+00  1.0E-05
  6.750E-04  3.46979E-11  7.35352E-13  2.62599E+04  0.00000E+00  1.0E-05
  7.000E-04  3.73157E-11  7.35344E-13  2.62596E+04  0.00000E+00  1.0E-05
  7.250E-04  4.00286E-11  7.35337E-13  2.62594E+04  0.00000E+00  1.0E-05
  7.500E-04  4.28368E-11  7.35329E-13  2.62591E+04  0.00000E+00  1.0E-05
  7.750E-04  4.57402E-11  7.35321E-13  2.62588E+04  0.00000E+00  1.0E-05
  8.000E-04  4.87388E-11  7.35313E-13  2.62585E+04  0.00000E+00  1.0E-05
  8.250E-04  5.18325E-11  7.35304E-13  2.62582E+04  0.00000E+00  1.0E-05
  8.500E-04  5.50215E-11  7.35295E-13  2.62579E+04  0.00000E+00  1.0E-05
  8.750E-04  5.83057E-11  7.35286E-13  2.62575E+04  0.00000E+00  1.0E-05
  9.000E-04  6.16850E-11  7.35276E-13  2.62572E+04  0.00000E+00  1.0E-05
  9.250E-04  6.51595E-11  7.35267E-13  2.62569E+04  0.00000E+00  1.0E-05
  9.500E-04  6.87293E-11  7.35257E-13  2.62565E+04  0.00000E+00  1.0E-05
  9.750E-04  7.23943E-11  7.35247E-13  2.62561E+04  0.00000E+00  1.0E-05
  1.000E-03  7.61544E-11  7.35236E-13  2.62558E+04  0.00000E+00  1.0E-05
  1.250E-03  1.18991E-10  7.35116E-13  2.62515E+04  0.00000E+00  1.0E-05
  1.500E-03  1.71347E-10  7.34970E-13  2.62463E+04  0.00000E+00  1.0E-05
