 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element: Pu,  Z =  94,  atomic weight = 2.44064E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.68680E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 94
 #
 # Total elastic cross section = 1.16867E-17 cm**2 = 4.17340E-01 a0**2
 # 1st transport cross section = 8.41221E-22 cm**2 = 3.00406E-05 a0**2
 # 2nd transport cross section = 2.17803E-21 cm**2 = 7.77789E-05 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  2.08145E-12  7.43301E+04  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  2.08144E-12  7.43296E+04  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  2.08143E-12  7.43293E+04  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  2.08142E-12  7.43289E+04  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  2.08141E-12  7.43284E+04  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  2.08139E-12  7.43279E+04  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  2.08138E-12  7.43274E+04  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  2.08136E-12  7.43267E+04  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  2.08134E-12  7.43260E+04  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  2.08132E-12  7.43253E+04  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  2.08130E-12  7.43244E+04  0.00000E+00  1.0E-05
  3.500E-04  9.32893E-12  2.08127E-12  7.43235E+04  0.00000E+00  1.0E-05
  3.750E-04  1.07092E-11  2.08124E-12  7.43226E+04  0.00000E+00  1.0E-05
  4.000E-04  1.21847E-11  2.08121E-12  7.43215E+04  0.00000E+00  1.0E-05
  4.250E-04  1.37554E-11  2.08118E-12  7.43204E+04  0.00000E+00  1.0E-05
  4.500E-04  1.54213E-11  2.08115E-12  7.43193E+04  0.00000E+00  1.0E-05
  4.750E-04  1.71823E-11  2.08112E-12  7.43180E+04  0.00000E+00  1.0E-05
  5.000E-04  1.90386E-11  2.08108E-12  7.43167E+04  0.00000E+00  1.0E-05
  5.250E-04  2.09900E-11  2.08104E-12  7.43153E+04  0.00000E+00  1.0E-05
  5.500E-04  2.30367E-11  2.08100E-12  7.43139E+04  0.00000E+00  1.0E-05
  5.750E-04  2.51785E-11  2.08096E-12  7.43124E+04  0.00000E+00  1.0E-05
  6.000E-04  2.74156E-11  2.08092E-12  7.43108E+04  0.00000E+00  1.0E-05
  6.250E-04  2.97478E-11  2.08087E-12  7.43092E+04  0.00000E+00  1.0E-05
  6.500E-04  3.21752E-11  2.08082E-12  7.43075E+04  0.00000E+00  1.0E-05
  6.750E-04  3.46979E-11  2.08077E-12  7.43057E+04  0.00000E+00  1.0E-05
  7.000E-04  3.73157E-11  2.08072E-12  7.43039E+04  0.00000E+00  1.0E-05
  7.250E-04  4.00286E-11  2.08067E-12  7.43020E+04  0.00000E+00  1.0E-05
  7.500E-04  4.28368E-11  2.08061E-12  7.43000E+04  0.00000E+00  1.0E-05
  7.750E-04  4.57402E-11  2.08055E-12  7.42979E+04  0.00000E+00  1.0E-05
  8.000E-04  4.87388E-11  2.08050E-12  7.42958E+04  0.00000E+00  1.0E-05
  8.250E-04  5.18325E-11  2.08043E-12  7.42937E+04  0.00000E+00  1.0E-05
  8.500E-04  5.50215E-11  2.08037E-12  7.42914E+04  0.00000E+00  1.0E-05
  8.750E-04  5.83057E-11  2.08031E-12  7.42891E+04  0.00000E+00  1.0E-05
  9.000E-04  6.16850E-11  2.08024E-12  7.42867E+04  0.00000E+00  1.0E-05
  9.250E-04  6.51595E-11  2.08017E-12  7.42843E+04  0.00000E+00  1.0E-05
  9.500E-04  6.87293E-11  2.08010E-12  7.42818E+04  0.00000E+00  1.0E-05
  9.750E-04  7.23943E-11  2.08003E-12  7.42792E+04  0.00000E+00  1.0E-05
  1.000E-03  7.61544E-11  2.07996E-12  7.42766E+04  0.00000E+00  1.0E-05
  1.250E-03  1.18991E-10  2.07911E-12  7.42465E+04  0.00000E+00  1.0E-05
  1.500E-03  1.71347E-10  2.07808E-12  7.42097E+04  0.00000E+00  1.0E-05
  1.750E-03  2.33223E-10  2.07687E-12  7.41663E+04  0.00000E+00  1.0E-05
