 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element: Rb,  Z =  37,  atomic weight = 8.54678E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 4.71322E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 37
 #
 # Total elastic cross section = 3.37978E-18 cm**2 = 1.20694E-01 a0**2
 # 1st transport cross section = 1.18751E-22 cm**2 = 4.24067E-06 a0**2
 # 2nd transport cross section = 3.33512E-22 cm**2 = 1.19099E-05 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  9.28514E-13  3.31578E+04  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  9.28503E-13  3.31574E+04  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  9.28497E-13  3.31572E+04  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  9.28489E-13  3.31569E+04  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  9.28480E-13  3.31566E+04  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  9.28469E-13  3.31562E+04  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  9.28457E-13  3.31558E+04  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  9.28443E-13  3.31553E+04  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  9.28428E-13  3.31548E+04  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  9.28412E-13  3.31542E+04  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  9.28394E-13  3.31536E+04  0.00000E+00  1.0E-05
  3.500E-04  9.32893E-12  9.28375E-13  3.31529E+04  0.00000E+00  1.0E-05
  3.750E-04  1.07092E-11  9.28354E-13  3.31521E+04  0.00000E+00  1.0E-05
  4.000E-04  1.21847E-11  9.28332E-13  3.31513E+04  0.00000E+00  1.0E-05
  4.250E-04  1.37554E-11  9.28309E-13  3.31505E+04  0.00000E+00  1.0E-05
  4.500E-04  1.54213E-11  9.28284E-13  3.31496E+04  0.00000E+00  1.0E-05
  4.750E-04  1.71823E-11  9.28258E-13  3.31487E+04  0.00000E+00  1.0E-05
  5.000E-04  1.90386E-11  9.28230E-13  3.31477E+04  0.00000E+00  1.0E-05
  5.250E-04  2.09900E-11  9.28201E-13  3.31466E+04  0.00000E+00  1.0E-05
  5.500E-04  2.30367E-11  9.28170E-13  3.31456E+04  0.00000E+00  1.0E-05
  5.750E-04  2.51785E-11  9.28138E-13  3.31444E+04  0.00000E+00  1.0E-05
  6.000E-04  2.74156E-11  9.28105E-13  3.31432E+04  0.00000E+00  1.0E-05
  6.250E-04  2.97478E-11  9.28070E-13  3.31420E+04  0.00000E+00  1.0E-05
  6.500E-04  3.21752E-11  9.28033E-13  3.31407E+04  0.00000E+00  1.0E-05
  6.750E-04  3.46979E-11  9.27996E-13  3.31393E+04  0.00000E+00  1.0E-05
  7.000E-04  3.73157E-11  9.27957E-13  3.31379E+04  0.00000E+00  1.0E-05
  7.250E-04  4.00286E-11  9.27916E-13  3.31365E+04  0.00000E+00  1.0E-05
  7.500E-04  4.28368E-11  9.27874E-13  3.31350E+04  0.00000E+00  1.0E-05
  7.750E-04  4.57402E-11  9.27831E-13  3.31334E+04  0.00000E+00  1.0E-05
