 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element: Re,  Z =  75,  atomic weight = 1.86207E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.11011E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 75
 #
 # Total elastic cross section = 7.72998E-18 cm**2 = 2.76042E-01 a0**2
 # 1st transport cross section = 5.17597E-22 cm**2 = 1.84837E-05 a0**2
 # 2nd transport cross section = 1.39017E-21 cm**2 = 4.96439E-05 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  9.60433E-13  3.42977E+04  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  9.60429E-13  3.42975E+04  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  9.60427E-13  3.42975E+04  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  9.60424E-13  3.42974E+04  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  9.60421E-13  3.42973E+04  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  9.60417E-13  3.42971E+04  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  9.60413E-13  3.42970E+04  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  9.60409E-13  3.42968E+04  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  9.60403E-13  3.42966E+04  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  9.60398E-13  3.42964E+04  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  9.60392E-13  3.42962E+04  0.00000E+00  1.0E-05
  3.500E-04  9.32893E-12  9.60385E-13  3.42960E+04  0.00000E+00  1.0E-05
  3.750E-04  1.07092E-11  9.60378E-13  3.42957E+04  0.00000E+00  1.0E-05
  4.000E-04  1.21847E-11  9.60371E-13  3.42955E+04  0.00000E+00  1.0E-05
  4.250E-04  1.37554E-11  9.60363E-13  3.42952E+04  0.00000E+00  1.0E-05
  4.500E-04  1.54213E-11  9.60354E-13  3.42949E+04  0.00000E+00  1.0E-05
  4.750E-04  1.71823E-11  9.60345E-13  3.42945E+04  0.00000E+00  1.0E-05
  5.000E-04  1.90386E-11  9.60336E-13  3.42942E+04  0.00000E+00  1.0E-05
  5.250E-04  2.09900E-11  9.60326E-13  3.42938E+04  0.00000E+00  1.0E-05
  5.500E-04  2.30367E-11  9.60315E-13  3.42935E+04  0.00000E+00  1.0E-05
  5.750E-04  2.51785E-11  9.60304E-13  3.42931E+04  0.00000E+00  1.0E-05
  6.000E-04  2.74156E-11  9.60293E-13  3.42927E+04  0.00000E+00  1.0E-05
  6.250E-04  2.97478E-11  9.60281E-13  3.42922E+04  0.00000E+00  1.0E-05
  6.500E-04  3.21752E-11  9.60268E-13  3.42918E+04  0.00000E+00  1.0E-05
  6.750E-04  3.46979E-11  9.60255E-13  3.42913E+04  0.00000E+00  1.0E-05
  7.000E-04  3.73157E-11  9.60242E-13  3.42909E+04  0.00000E+00  1.0E-05
  7.250E-04  4.00286E-11  9.60228E-13  3.42904E+04  0.00000E+00  1.0E-05
  7.500E-04  4.28368E-11  9.60214E-13  3.42899E+04  0.00000E+00  1.0E-05
  7.750E-04  4.57402E-11  9.60199E-13  3.42893E+04  0.00000E+00  1.0E-05
  8.000E-04  4.87388E-11  9.60184E-13  3.42888E+04  0.00000E+00  1.0E-05
  8.250E-04  5.18325E-11  9.60168E-13  3.42882E+04  0.00000E+00  1.0E-05
  8.500E-04  5.50215E-11  9.60151E-13  3.42876E+04  0.00000E+00  1.0E-05
  8.750E-04  5.83057E-11  9.60134E-13  3.42870E+04  0.00000E+00  1.0E-05
  9.000E-04  6.16850E-11  9.60117E-13  3.42864E+04  0.00000E+00  1.0E-05
  9.250E-04  6.51595E-11  9.60099E-13  3.42858E+04  0.00000E+00  1.0E-05
  9.500E-04  6.87293E-11  9.60081E-13  3.42851E+04  0.00000E+00  1.0E-05
  9.750E-04  7.23943E-11  9.60062E-13  3.42844E+04  0.00000E+00  1.0E-05
  1.000E-03  7.61544E-11  9.60043E-13  3.42838E+04  0.00000E+00  1.0E-05
  1.250E-03  1.18991E-10  9.59823E-13  3.42759E+04  0.00000E+00  1.0E-05
  1.500E-03  1.71347E-10  9.59555E-13  3.42663E+04  0.00000E+00  1.0E-05
  1.750E-03  2.33223E-10  9.59238E-13  3.42550E+04  0.00000E+00  1.0E-05
  2.000E-03  3.04617E-10  9.58873E-13  3.42420E+04  0.00000E+00  1.0E-05
  2.250E-03  3.85531E-10  9.58459E-13  3.42272E+04  0.00000E+00  1.0E-05
  2.500E-03  4.75965E-10  9.57996E-13  3.42107E+04  0.00000E+00  1.0E-05
  2.750E-03  5.75917E-10  9.57485E-13  3.41924E+04  0.00000E+00  1.0E-05
  3.000E-03  6.85389E-10  9.56926E-13  3.41725E+04  0.00000E+00  1.0E-05
  3.250E-03  8.04380E-10  9.56319E-13  3.41508E+04  0.00000E+00  1.0E-05
  3.500E-03  9.32891E-10  9.55664E-13  3.41274E+04  0.00000E+00  1.0E-05
  3.750E-03  1.07092E-09  9.54962E-13  3.41023E+04  0.00000E+00  1.0E-05
  4.000E-03  1.21847E-09  9.54212E-13  3.40755E+04  0.00000E+00  1.0E-05
  4.250E-03  1.37554E-09  9.53415E-13  3.40471E+04  0.00000E+00  1.0E-05
  4.500E-03  1.54213E-09  9.52570E-13  3.40169E+04  0.00000E+00  1.0E-05
  4.750E-03  1.71823E-09  9.51679E-13  3.39851E+04  0.00000E+00  1.0E-05
  5.000E-03  1.90386E-09  9.50741E-13  3.39516E+04  0.00000E+00  1.0E-05
  5.250E-03  2.09900E-09  9.49757E-13  3.39164E+04  0.00000E+00  1.0E-05
  5.500E-03  2.30367E-09  9.48726E-13  3.38796E+04  0.00000E+00  1.0E-05
  5.750E-03  2.51785E-09  9.47649E-13  3.38412E+04  0.00000E+00  1.0E-05
  6.000E-03  2.74156E-09  9.46527E-13  3.38011E+04  0.00000E+00  1.0E-05
  6.250E-03  2.97478E-09  9.45360E-13  3.37594E+04  0.00000E+00  1.0E-05
  6.500E-03  3.21752E-09  9.44147E-13  3.37161E+04  0.00000E+00  1.0E-05
  6.750E-03  3.46978E-09  9.42890E-13  3.36712E+04  0.00000E+00  1.0E-05
  7.000E-03  3.73156E-09  9.41588E-13  3.36247E+04  0.00000E+00  1.0E-05
  7.250E-03  4.00286E-09  9.40242E-13  3.35767E+04  0.00000E+00  1.0E-05
  7.500E-03  4.28368E-09  9.38852E-13  3.35270E+04  0.00000E+00  1.0E-05
  7.750E-03  4.57402E-09  9.37419E-13  3.34758E+04  0.00000E+00  1.0E-05
  8.000E-03  4.87388E-09  9.35943E-13  3.34231E+04  0.00000E+00  1.0E-05
  8.250E-03  5.18326E-09  9.34424E-13  3.33689E+04  0.00000E+00  1.0E-05
  8.500E-03  5.50215E-09  9.32863E-13  3.33131E+04  0.00000E+00  1.0E-05
  8.750E-03  5.83057E-09  9.31259E-13  3.32559E+04  0.00000E+00  1.0E-05
  9.000E-03  6.16850E-09  9.29614E-13  3.31971E+04  0.00000E+00  1.0E-05
  9.250E-03  6.51596E-09  9.27929E-13  3.31369E+04  0.00000E+00  1.0E-05
  9.500E-03  6.87293E-09  9.26202E-13  3.30753E+04  0.00000E+00  1.0E-05
  9.750E-03  7.23942E-09  9.24435E-13  3.30122E+04  0.00000E+00  1.0E-05
  1.000E-02  7.61544E-09  9.22627E-13  3.29476E+04  0.00000E+00  1.0E-05
  1.250E-02  1.18991E-08  9.02459E-13  3.22274E+04  0.00000E+00  1.0E-05
  1.500E-02  1.71347E-08  8.78719E-13  3.13796E+04  0.00000E+00  1.0E-05
  1.750E-02  2.33223E-08  8.52100E-13  3.04291E+04  0.00000E+00  1.0E-05
  2.000E-02  3.04617E-08  8.23142E-13  2.93949E+04  0.00000E+00  1.0E-05
  2.250E-02  3.85531E-08  7.92238E-13  2.82913E+04  0.00000E+00  1.0E-05
  2.500E-02  4.75965E-08  7.59951E-13  2.71383E+04  0.00000E+00  1.0E-05
  2.750E-02  5.75917E-08  7.26914E-13  2.59586E+04  0.00000E+00  1.0E-05
  3.000E-02  6.85389E-08  6.93601E-13  2.47689E+04  0.00000E+00  1.0E-05
  3.250E-02  8.04380E-08  6.60276E-13  2.35789E+04  0.00000E+00  1.0E-05
  3.500E-02  9.32891E-08  6.27224E-13  2.23986E+04  0.00000E+00  1.0E-05
  3.750E-02  1.07092E-07  5.94935E-13  2.12455E+04  0.00000E+00  1.0E-05
  4.000E-02  1.21847E-07  5.63635E-13  2.01278E+04  0.00000E+00  1.0E-05
  4.250E-02  1.37554E-07  5.33429E-13  1.90491E+04  0.00000E+00  1.0E-05
  4.500E-02  1.54213E-07  5.04287E-13  1.80084E+04  0.00000E+00  1.0E-05
  4.750E-02  1.71823E-07  4.76529E-13  1.70172E+04  0.00000E+00  1.0E-05
  5.000E-02  1.90386E-07  4.50192E-13  1.60766E+04  0.00000E+00  1.0E-05
  5.250E-02  2.09900E-07  4.25281E-13  1.51870E+04  0.00000E+00  1.0E-05
  5.500E-02  2.30367E-07  4.01585E-13  1.43409E+04  0.00000E+00  1.0E-05
  5.750E-02  2.51785E-07  3.79304E-13  1.35452E+04  0.00000E+00  1.0E-05
  6.000E-02  2.74156E-07  3.58386E-13  1.27982E+04  0.00000E+00  1.0E-05
  6.250E-02  2.97478E-07  3.38773E-13  1.20978E+04  0.00000E+00  1.0E-05
  6.500E-02  3.21752E-07  3.20281E-13  1.14374E+04  0.00000E+00  1.0E-05
  6.750E-02  3.46978E-07  3.02956E-13  1.08188E+04  0.00000E+00  1.0E-05
  7.000E-02  3.73156E-07  2.86756E-13  1.02402E+04  0.00000E+00  1.0E-05
  7.250E-02  4.00286E-07  2.71608E-13  9.69928E+03  0.00000E+00  1.0E-05
  7.500E-02  4.28368E-07  2.57376E-13  9.19108E+03  0.00000E+00  1.0E-05
  7.750E-02  4.57402E-07  2.44034E-13  8.71461E+03  0.00000E+00  1.0E-05
  8.000E-02  4.87388E-07  2.31558E-13  8.26908E+03  0.00000E+00  1.0E-05
  8.250E-02  5.18325E-07  2.19886E-13  7.85227E+03  0.00000E+00  1.0E-05
  8.500E-02  5.50215E-07  2.08926E-13  7.46088E+03  0.00000E+00  1.0E-05
  8.750E-02  5.83057E-07  1.98619E-13  7.09280E+03  0.00000E+00  1.0E-05
  9.000E-02  6.16850E-07  1.88962E-13  6.74794E+03  0.00000E+00  1.0E-05
  9.250E-02  6.51596E-07  1.79907E-13  6.42459E+03  0.00000E+00  1.0E-05
  9.500E-02  6.87293E-07  1.71396E-13  6.12065E+03  0.00000E+00  1.0E-05
  9.750E-02  7.23942E-07  1.63358E-13  5.83362E+03  0.00000E+00  1.0E-05
  1.000E-01  7.61543E-07  1.55806E-13  5.56394E+03  0.00000E+00  1.0E-05
  1.250E-01  1.18991E-06  1.00081E-13  3.57395E+03  0.00000E+00  1.0E-05
  1.500E-01  1.71347E-06  6.64563E-14  2.37320E+03  0.00000E+00  1.0E-05
  1.750E-01  2.33223E-06  4.64614E-14  1.65917E+03  0.00000E+00  1.0E-05
  2.000E-01  3.04617E-06  3.35207E-14  1.19705E+03  0.00000E+00  1.0E-05
  2.250E-01  3.85531E-06  2.46573E-14  8.80528E+02  0.00000E+00  1.0E-05
  2.500E-01  4.75964E-06  1.85388E-14  6.62034E+02  0.00000E+00  1.0E-05
  2.750E-01  5.75916E-06  1.42437E-14  5.08651E+02  0.00000E+00  1.0E-05
  3.000E-01  6.85388E-06  1.11385E-14  3.97763E+02  0.00000E+00  1.0E-05
  3.250E-01  8.04378E-06  8.81930E-15  3.14943E+02  0.00000E+00  1.0E-05
  3.500E-01  9.32888E-06  7.05462E-15  2.51925E+02  0.00000E+00  1.0E-05
  3.750E-01  1.07092E-05  5.70890E-15  2.03869E+02  0.00000E+00  1.0E-05
  4.000E-01  1.21846E-05  4.66562E-15  1.66612E+02  0.00000E+00  1.0E-05
  4.250E-01  1.37553E-05  3.84321E-15  1.37244E+02  0.00000E+00  1.0E-05
  4.500E-01  1.54212E-05  3.18471E-15  1.13728E+02  0.00000E+00  1.0E-05
  4.750E-01  1.71822E-05  2.66005E-15  9.49921E+01  0.00000E+00  1.0E-05
  5.000E-01  1.90385E-05  2.23663E-15  7.98716E+01  0.00000E+00  1.0E-05
  5.250E-01  2.09899E-05  1.89550E-15  6.76895E+01  0.00000E+00  1.0E-05
  5.500E-01  2.30365E-05  1.61444E-15  5.76528E+01  0.00000E+00  1.0E-05
  5.750E-01  2.51783E-05  1.38354E-15  4.94071E+01  0.00000E+00  1.0E-05
  6.000E-01  2.74153E-05  1.19248E-15  4.25842E+01  0.00000E+00  1.0E-05
  6.250E-01  2.97475E-05  1.03349E-15  3.69067E+01  0.00000E+00  1.0E-05
  6.500E-01  3.21749E-05  9.00458E-16  3.21559E+01  0.00000E+00  1.0E-05
  6.750E-01  3.46974E-05  7.88079E-16  2.81428E+01  0.00000E+00  1.0E-05
  7.000E-01  3.73152E-05  6.93045E-16  2.47491E+01  0.00000E+00  1.0E-05
  7.250E-01  4.00281E-05  6.12371E-16  2.18681E+01  0.00000E+00  1.0E-05
  7.500E-01  4.28362E-05  5.43388E-16  1.94047E+01  0.00000E+00  1.0E-05
  7.750E-01  4.57395E-05  4.84095E-16  1.72873E+01  0.00000E+00  1.0E-05
  8.000E-01  4.87380E-05  4.32880E-16  1.54584E+01  0.00000E+00  1.0E-05
  8.250E-01  5.18317E-05  3.88407E-16  1.38703E+01  0.00000E+00  1.0E-05
  8.500E-01  5.50205E-05  3.49554E-16  1.24828E+01  0.00000E+00  1.0E-05
  8.750E-01  5.83045E-05  3.15447E-16  1.12648E+01  0.00000E+00  1.0E-05
  9.000E-01  6.16838E-05  2.85457E-16  1.01938E+01  0.00000E+00  1.0E-05
  9.250E-01  6.51582E-05  2.58993E-16  9.24882E+00  0.00000E+00  1.0E-05
  9.500E-01  6.87277E-05  2.35546E-16  8.41150E+00  0.00000E+00  1.0E-05
  9.750E-01  7.23925E-05  2.14677E-16  7.66625E+00  0.00000E+00  1.0E-05
  1.000E+00  7.61524E-05  1.96094E-16  7.00265E+00  0.00000E+00  8.2E-06
  1.100E+00  9.21439E-05  1.39232E-16  4.97208E+00  0.00000E+00  6.2E-06
  1.200E+00  1.09658E-04  1.01590E-16  3.62786E+00  0.00000E+00  3.4E-06
  1.300E+00  1.28695E-04  7.58244E-17  2.70774E+00  0.00000E+00  6.7E-07
  1.400E+00  1.49255E-04  5.76736E-17  2.05956E+00  0.00000E+00  1.3E-06
  1.500E+00  1.71338E-04  4.46795E-17  1.59553E+00  0.00000E+00  2.4E-06
  1.600E+00  1.94942E-04  3.51546E-17  1.25539E+00  0.00000E+00  2.6E-06
  1.700E+00  2.20070E-04  2.80346E-17  1.00113E+00  0.00000E+00  2.0E-06
  1.800E+00  2.46720E-04  2.26201E-17  8.07778E-01  0.00000E+00  1.1E-06
  1.900E+00  2.74892E-04  1.84566E-17  6.59096E-01  0.00000E+00  1.8E-07
  2.000E+00  3.04586E-04  1.52111E-17  5.43199E-01  0.00000E+00  6.1E-07
  2.100E+00  3.35803E-04  1.26504E-17  4.51754E-01  0.00000E+00  1.1E-06
  2.200E+00  3.68542E-04  1.06031E-17  3.78644E-01  0.00000E+00  1.2E-06
  2.300E+00  4.02802E-04  8.95546E-18  3.19805E-01  0.00000E+00  9.4E-07
  2.400E+00  4.38585E-04  7.61697E-18  2.72007E-01  0.00000E+00  5.2E-07
  2.500E+00  4.75889E-04  6.52032E-18  2.32845E-01  0.00000E+00  1.0E-07
  2.600E+00  5.14715E-04  5.61357E-18  2.00464E-01  0.00000E+00  3.5E-07
  2.700E+00  5.55063E-04  4.85962E-18  1.73540E-01  0.00000E+00  5.8E-07
  2.800E+00  5.96931E-04  4.22870E-18  1.51010E-01  0.00000E+00  6.3E-07
  2.900E+00  6.40321E-04  3.69738E-18  1.32036E-01  0.00000E+00  5.1E-07
  3.000E+00  6.85233E-04  3.24692E-18  1.15950E-01  0.00000E+00  2.8E-07
  3.100E+00  7.31665E-04  2.86318E-18  1.02246E-01  0.00000E+00  1.0E-07
  3.200E+00  7.79618E-04  2.53476E-18  9.05179E-02  0.00000E+00  2.2E-07
  3.300E+00  8.29092E-04  2.25232E-18  8.04318E-02  0.00000E+00  3.6E-07
  3.400E+00  8.80086E-04  2.00819E-18  7.17136E-02  0.00000E+00  3.9E-07
  3.500E+00  9.32601E-04  1.79627E-18  6.41461E-02  0.00000E+00  3.1E-07
  3.600E+00  9.86636E-04  1.61171E-18  5.75552E-02  0.00000E+00  1.6E-07
  3.700E+00  1.04219E-03  1.45034E-18  5.17926E-02  0.00000E+00  1.0E-07
  3.800E+00  1.09927E-03  1.30872E-18  4.67352E-02  0.00000E+00  1.6E-07
  3.900E+00  1.15786E-03  1.18394E-18  4.22793E-02  0.00000E+00  2.4E-07
  4.000E+00  1.21797E-03  1.07374E-18  3.83441E-02  0.00000E+00  2.6E-07
  4.100E+00  1.27961E-03  9.76117E-19  3.48578E-02  0.00000E+00  2.0E-07
  4.200E+00  1.34276E-03  8.89370E-19  3.17600E-02  0.00000E+00  1.0E-07
