 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element: Rn,  Z =  86,  atomic weight = 2.22018E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.47907E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 86
 #
 # Total elastic cross section = 9.74713E-18 cm**2 = 3.48076E-01 a0**2
 # 1st transport cross section = 6.94478E-22 cm**2 = 2.48003E-05 a0**2
 # 2nd transport cross section = 1.82842E-21 cm**2 = 6.52941E-05 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  1.13973E-12  4.07007E+04  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  1.13973E-12  4.07006E+04  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  1.13973E-12  4.07005E+04  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  1.13973E-12  4.07004E+04  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  1.13972E-12  4.07003E+04  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  1.13972E-12  4.07002E+04  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  1.13972E-12  4.07001E+04  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  1.13971E-12  4.06999E+04  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  1.13971E-12  4.06998E+04  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  1.13970E-12  4.06996E+04  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  1.13970E-12  4.06994E+04  0.00000E+00  1.0E-05
  3.500E-04  9.32893E-12  1.13969E-12  4.06992E+04  0.00000E+00  1.0E-05
  3.750E-04  1.07092E-11  1.13969E-12  4.06990E+04  0.00000E+00  1.0E-05
  4.000E-04  1.21847E-11  1.13968E-12  4.06987E+04  0.00000E+00  1.0E-05
  4.250E-04  1.37554E-11  1.13967E-12  4.06985E+04  0.00000E+00  1.0E-05
  4.500E-04  1.54213E-11  1.13967E-12  4.06982E+04  0.00000E+00  1.0E-05
  4.750E-04  1.71823E-11  1.13966E-12  4.06979E+04  0.00000E+00  1.0E-05
  5.000E-04  1.90386E-11  1.13965E-12  4.06976E+04  0.00000E+00  1.0E-05
  5.250E-04  2.09900E-11  1.13964E-12  4.06973E+04  0.00000E+00  1.0E-05
  5.500E-04  2.30367E-11  1.13963E-12  4.06970E+04  0.00000E+00  1.0E-05
  5.750E-04  2.51785E-11  1.13962E-12  4.06967E+04  0.00000E+00  1.0E-05
  6.000E-04  2.74156E-11  1.13961E-12  4.06963E+04  0.00000E+00  1.0E-05
  6.250E-04  2.97478E-11  1.13960E-12  4.06959E+04  0.00000E+00  1.0E-05
  6.500E-04  3.21752E-11  1.13959E-12  4.06955E+04  0.00000E+00  1.0E-05
  6.750E-04  3.46979E-11  1.13958E-12  4.06951E+04  0.00000E+00  1.0E-05
  7.000E-04  3.73157E-11  1.13957E-12  4.06947E+04  0.00000E+00  1.0E-05
  7.250E-04  4.00286E-11  1.13956E-12  4.06943E+04  0.00000E+00  1.0E-05
  7.500E-04  4.28368E-11  1.13954E-12  4.06938E+04  0.00000E+00  1.0E-05
  7.750E-04  4.57402E-11  1.13953E-12  4.06934E+04  0.00000E+00  1.0E-05
  8.000E-04  4.87388E-11  1.13952E-12  4.06929E+04  0.00000E+00  1.0E-05
  8.250E-04  5.18325E-11  1.13950E-12  4.06924E+04  0.00000E+00  1.0E-05
  8.500E-04  5.50215E-11  1.13949E-12  4.06919E+04  0.00000E+00  1.0E-05
  8.750E-04  5.83057E-11  1.13947E-12  4.06914E+04  0.00000E+00  1.0E-05
  9.000E-04  6.16850E-11  1.13946E-12  4.06908E+04  0.00000E+00  1.0E-05
  9.250E-04  6.51595E-11  1.13944E-12  4.06903E+04  0.00000E+00  1.0E-05
  9.500E-04  6.87293E-11  1.13943E-12  4.06897E+04  0.00000E+00  1.0E-05
  9.750E-04  7.23943E-11  1.13941E-12  4.06891E+04  0.00000E+00  1.0E-05
  1.000E-03  7.61544E-11  1.13939E-12  4.06885E+04  0.00000E+00  1.0E-05
  1.250E-03  1.18991E-10  1.13920E-12  4.06816E+04  0.00000E+00  1.0E-05
  1.500E-03  1.71347E-10  1.13897E-12  4.06733E+04  0.00000E+00  1.0E-05
  1.750E-03  2.33223E-10  1.13869E-12  4.06633E+04  0.00000E+00  1.0E-05
  2.000E-03  3.04617E-10  1.13837E-12  4.06519E+04  0.00000E+00  1.0E-05
  2.250E-03  3.85531E-10  1.13801E-12  4.06389E+04  0.00000E+00  1.0E-05
  2.500E-03  4.75965E-10  1.13760E-12  4.06245E+04  0.00000E+00  1.0E-05
  2.750E-03  5.75917E-10  1.13715E-12  4.06085E+04  0.00000E+00  1.0E-05
  3.000E-03  6.85389E-10  1.13666E-12  4.05910E+04  0.00000E+00  1.0E-05
  3.250E-03  8.04380E-10  1.13613E-12  4.05720E+04  0.00000E+00  1.0E-05
  3.500E-03  9.32891E-10  1.13556E-12  4.05514E+04  0.00000E+00  1.0E-05
  3.750E-03  1.07092E-09  1.13494E-12  4.05294E+04  0.00000E+00  1.0E-05
  4.000E-03  1.21847E-09  1.13428E-12  4.05059E+04  0.00000E+00  1.0E-05
  4.250E-03  1.37554E-09  1.13358E-12  4.04809E+04  0.00000E+00  1.0E-05
  4.500E-03  1.54213E-09  1.13284E-12  4.04543E+04  0.00000E+00  1.0E-05
  4.750E-03  1.71823E-09  1.13205E-12  4.04263E+04  0.00000E+00  1.0E-05
  5.000E-03  1.90386E-09  1.13123E-12  4.03969E+04  0.00000E+00  1.0E-05
  5.250E-03  2.09900E-09  1.13036E-12  4.03659E+04  0.00000E+00  1.0E-05
  5.500E-03  2.30367E-09  1.12945E-12  4.03335E+04  0.00000E+00  1.0E-05
  5.750E-03  2.51785E-09  1.12850E-12  4.02996E+04  0.00000E+00  1.0E-05
  6.000E-03  2.74156E-09  1.12751E-12  4.02642E+04  0.00000E+00  1.0E-05
  6.250E-03  2.97478E-09  1.12648E-12  4.02274E+04  0.00000E+00  1.0E-05
  6.500E-03  3.21752E-09  1.12541E-12  4.01891E+04  0.00000E+00  1.0E-05
  6.750E-03  3.46978E-09  1.12430E-12  4.01494E+04  0.00000E+00  1.0E-05
  7.000E-03  3.73156E-09  1.12315E-12  4.01083E+04  0.00000E+00  1.0E-05
  7.250E-03  4.00286E-09  1.12195E-12  4.00657E+04  0.00000E+00  1.0E-05
  7.500E-03  4.28368E-09  1.12072E-12  4.00217E+04  0.00000E+00  1.0E-05
  7.750E-03  4.57402E-09  1.11945E-12  3.99763E+04  0.00000E+00  1.0E-05
  8.000E-03  4.87388E-09  1.11814E-12  3.99295E+04  0.00000E+00  1.0E-05
  8.250E-03  5.18326E-09  1.11679E-12  3.98813E+04  0.00000E+00  1.0E-05
  8.500E-03  5.50215E-09  1.11540E-12  3.98317E+04  0.00000E+00  1.0E-05
  8.750E-03  5.83057E-09  1.11397E-12  3.97807E+04  0.00000E+00  1.0E-05
  9.000E-03  6.16850E-09  1.11251E-12  3.97283E+04  0.00000E+00  1.0E-05
  9.250E-03  6.51596E-09  1.11100E-12  3.96746E+04  0.00000E+00  1.0E-05
  9.500E-03  6.87293E-09  1.10946E-12  3.96195E+04  0.00000E+00  1.0E-05
  9.750E-03  7.23942E-09  1.10788E-12  3.95631E+04  0.00000E+00  1.0E-05
  1.000E-02  7.61544E-09  1.10626E-12  3.95053E+04  0.00000E+00  1.0E-05
  1.250E-02  1.18991E-08  1.08809E-12  3.88563E+04  0.00000E+00  1.0E-05
  1.500E-02  1.71347E-08  1.06635E-12  3.80799E+04  0.00000E+00  1.0E-05
  1.750E-02  2.33223E-08  1.04163E-12  3.71974E+04  0.00000E+00  1.0E-05
  2.000E-02  3.04617E-08  1.01432E-12  3.62221E+04  0.00000E+00  1.0E-05
  2.250E-02  3.85531E-08  9.84544E-13  3.51587E+04  0.00000E+00  1.0E-05
  2.500E-02  4.75965E-08  9.52731E-13  3.40226E+04  0.00000E+00  1.0E-05
  2.750E-02  5.75917E-08  9.19506E-13  3.28362E+04  0.00000E+00  1.0E-05
  3.000E-02  6.85389E-08  8.85297E-13  3.16145E+04  0.00000E+00  1.0E-05
  3.250E-02  8.04380E-08  8.50227E-13  3.03621E+04  0.00000E+00  1.0E-05
