 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element: Ru,  Z =  44,  atomic weight = 1.01070E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 4.98415E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 44
 #
 # Total elastic cross section = 4.23494E-18 cm**2 = 1.51232E-01 a0**2
 # 1st transport cross section = 1.69429E-22 cm**2 = 6.05043E-06 a0**2
 # 2nd transport cross section = 4.73074E-22 cm**2 = 1.68938E-05 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  6.03642E-13  2.15564E+04  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  6.03639E-13  2.15564E+04  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  6.03638E-13  2.15563E+04  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  6.03636E-13  2.15562E+04  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  6.03634E-13  2.15562E+04  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  6.03631E-13  2.15561E+04  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  6.03628E-13  2.15560E+04  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  6.03625E-13  2.15558E+04  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  6.03622E-13  2.15557E+04  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  6.03618E-13  2.15556E+04  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  6.03614E-13  2.15554E+04  0.00000E+00  1.0E-05
  3.500E-04  9.32893E-12  6.03609E-13  2.15553E+04  0.00000E+00  1.0E-05
  3.750E-04  1.07092E-11  6.03604E-13  2.15551E+04  0.00000E+00  1.0E-05
  4.000E-04  1.21847E-11  6.03599E-13  2.15549E+04  0.00000E+00  1.0E-05
