 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element: Sb,  Z =  51,  atomic weight = 1.21760E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 5.30337E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 51
 #
 # Total elastic cross section = 5.40328E-18 cm**2 = 1.92955E-01 a0**2
 # 1st transport cross section = 2.29990E-22 cm**2 = 8.21310E-06 a0**2
 # 2nd transport cross section = 6.37865E-22 cm**2 = 2.27786E-05 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  8.04746E-13  2.87380E+04  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  8.04743E-13  2.87379E+04  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  8.04741E-13  2.87378E+04  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  8.04739E-13  2.87378E+04  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  8.04736E-13  2.87377E+04  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  8.04733E-13  2.87376E+04  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  8.04730E-13  2.87374E+04  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  8.04726E-13  2.87373E+04  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  8.04722E-13  2.87371E+04  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  8.04717E-13  2.87370E+04  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  8.04712E-13  2.87368E+04  0.00000E+00  1.0E-05
  3.500E-04  9.32893E-12  8.04707E-13  2.87366E+04  0.00000E+00  1.0E-05
  3.750E-04  1.07092E-11  8.04701E-13  2.87364E+04  0.00000E+00  1.0E-05
  4.000E-04  1.21847E-11  8.04694E-13  2.87362E+04  0.00000E+00  1.0E-05
  4.250E-04  1.37554E-11  8.04688E-13  2.87359E+04  0.00000E+00  1.0E-05
  4.500E-04  1.54213E-11  8.04681E-13  2.87357E+04  0.00000E+00  1.0E-05
  4.750E-04  1.71823E-11  8.04673E-13  2.87354E+04  0.00000E+00  1.0E-05
  5.000E-04  1.90386E-11  8.04665E-13  2.87351E+04  0.00000E+00  1.0E-05
  5.250E-04  2.09900E-11  8.04657E-13  2.87348E+04  0.00000E+00  1.0E-05
  5.500E-04  2.30367E-11  8.04648E-13  2.87345E+04  0.00000E+00  1.0E-05
  5.750E-04  2.51785E-11  8.04639E-13  2.87342E+04  0.00000E+00  1.0E-05
  6.000E-04  2.74156E-11  8.04629E-13  2.87338E+04  0.00000E+00  1.0E-05
  6.250E-04  2.97478E-11  8.04619E-13  2.87335E+04  0.00000E+00  1.0E-05
  6.500E-04  3.21752E-11  8.04609E-13  2.87331E+04  0.00000E+00  1.0E-05
  6.750E-04  3.46979E-11  8.04598E-13  2.87327E+04  0.00000E+00  1.0E-05
  7.000E-04  3.73157E-11  8.04587E-13  2.87323E+04  0.00000E+00  1.0E-05
  7.250E-04  4.00286E-11  8.04575E-13  2.87319E+04  0.00000E+00  1.0E-05
  7.500E-04  4.28368E-11  8.04563E-13  2.87315E+04  0.00000E+00  1.0E-05
  7.750E-04  4.57402E-11  8.04550E-13  2.87310E+04  0.00000E+00  1.0E-05
  8.000E-04  4.87388E-11  8.04538E-13  2.87306E+04  0.00000E+00  1.0E-05
  8.250E-04  5.18325E-11  8.04524E-13  2.87301E+04  0.00000E+00  1.0E-05
  8.500E-04  5.50215E-11  8.04511E-13  2.87296E+04  0.00000E+00  1.0E-05
  8.750E-04  5.83057E-11  8.04496E-13  2.87291E+04  0.00000E+00  1.0E-05
  9.000E-04  6.16850E-11  8.04482E-13  2.87286E+04  0.00000E+00  1.0E-05
  9.250E-04  6.51595E-11  8.04467E-13  2.87280E+04  0.00000E+00  1.0E-05
  9.500E-04  6.87293E-11  8.04452E-13  2.87275E+04  0.00000E+00  1.0E-05
  9.750E-04  7.23943E-11  8.04436E-13  2.87269E+04  0.00000E+00  1.0E-05
  1.000E-03  7.61544E-11  8.04420E-13  2.87264E+04  0.00000E+00  1.0E-05
