 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element: Sc,  Z =  21,  atomic weight = 4.49559E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 3.80463E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 21
 #
 # Total elastic cross section = 1.89492E-18 cm**2 = 6.76687E-02 a0**2
 # 1st transport cross section = 3.82728E-23 cm**2 = 1.36675E-06 a0**2
 # 2nd transport cross section = 1.08713E-22 cm**2 = 3.88222E-06 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  5.85472E-13  2.09076E+04  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  5.85467E-13  2.09074E+04  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  5.85465E-13  2.09073E+04  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  5.85461E-13  2.09072E+04  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  5.85457E-13  2.09071E+04  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  5.85453E-13  2.09069E+04  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  5.85448E-13  2.09067E+04  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  5.85442E-13  2.09065E+04  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  5.85436E-13  2.09063E+04  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  5.85429E-13  2.09060E+04  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  5.85421E-13  2.09058E+04  0.00000E+00  1.0E-05
  3.500E-04  9.32893E-12  5.85413E-13  2.09055E+04  0.00000E+00  1.0E-05
  3.750E-04  1.07092E-11  5.85404E-13  2.09052E+04  0.00000E+00  1.0E-05
  4.000E-04  1.21847E-11  5.85395E-13  2.09048E+04  0.00000E+00  1.0E-05
  4.250E-04  1.37554E-11  5.85385E-13  2.09045E+04  0.00000E+00  1.0E-05
  4.500E-04  1.54213E-11  5.85374E-13  2.09041E+04  0.00000E+00  1.0E-05
  4.750E-04  1.71823E-11  5.85363E-13  2.09037E+04  0.00000E+00  1.0E-05
  5.000E-04  1.90386E-11  5.85351E-13  2.09033E+04  0.00000E+00  1.0E-05
  5.250E-04  2.09900E-11  5.85339E-13  2.09028E+04  0.00000E+00  1.0E-05
  5.500E-04  2.30367E-11  5.85326E-13  2.09024E+04  0.00000E+00  1.0E-05
  5.750E-04  2.51785E-11  5.85312E-13  2.09019E+04  0.00000E+00  1.0E-05
  6.000E-04  2.74156E-11  5.85298E-13  2.09014E+04  0.00000E+00  1.0E-05
  6.250E-04  2.97478E-11  5.85283E-13  2.09009E+04  0.00000E+00  1.0E-05
  6.500E-04  3.21752E-11  5.85268E-13  2.09003E+04  0.00000E+00  1.0E-05
  6.750E-04  3.46979E-11  5.85252E-13  2.08997E+04  0.00000E+00  1.0E-05
  7.000E-04  3.73157E-11  5.85235E-13  2.08991E+04  0.00000E+00  1.0E-05
  7.250E-04  4.00286E-11  5.85218E-13  2.08985E+04  0.00000E+00  1.0E-05
  7.500E-04  4.28368E-11  5.85200E-13  2.08979E+04  0.00000E+00  1.0E-05
  7.750E-04  4.57402E-11  5.85182E-13  2.08972E+04  0.00000E+00  1.0E-05
  8.000E-04  4.87388E-11  5.85163E-13  2.08965E+04  0.00000E+00  1.0E-05
  8.250E-04  5.18325E-11  5.85143E-13  2.08958E+04  0.00000E+00  1.0E-05
  8.500E-04  5.50215E-11  5.85123E-13  2.08951E+04  0.00000E+00  1.0E-05
  8.750E-04  5.83057E-11  5.85102E-13  2.08944E+04  0.00000E+00  1.0E-05
  9.000E-04  6.16850E-11  5.85081E-13  2.08936E+04  0.00000E+00  1.0E-05
  9.250E-04  6.51595E-11  5.85059E-13  2.08928E+04  0.00000E+00  1.0E-05
  9.500E-04  6.87293E-11  5.85036E-13  2.08920E+04  0.00000E+00  1.0E-05
  9.750E-04  7.23943E-11  5.85013E-13  2.08912E+04  0.00000E+00  1.0E-05
  1.000E-03  7.61544E-11  5.84989E-13  2.08903E+04  0.00000E+00  1.0E-05
  1.250E-03  1.18991E-10  5.84718E-13  2.08806E+04  0.00000E+00  1.0E-05
  1.500E-03  1.71347E-10  5.84386E-13  2.08688E+04  0.00000E+00  1.0E-05
  1.750E-03  2.33223E-10  5.83994E-13  2.08548E+04  0.00000E+00  1.0E-05
  2.000E-03  3.04617E-10  5.83543E-13  2.08387E+04  0.00000E+00  1.0E-05
  2.250E-03  3.85531E-10  5.83032E-13  2.08204E+04  0.00000E+00  1.0E-05
  2.500E-03  4.75965E-10  5.82461E-13  2.08001E+04  0.00000E+00  1.0E-05
  2.750E-03  5.75917E-10  5.81832E-13  2.07776E+04  0.00000E+00  1.0E-05
  3.000E-03  6.85389E-10  5.81144E-13  2.07530E+04  0.00000E+00  1.0E-05
  3.250E-03  8.04380E-10  5.80397E-13  2.07264E+04  0.00000E+00  1.0E-05
  3.500E-03  9.32891E-10  5.79592E-13  2.06976E+04  0.00000E+00  1.0E-05
  3.750E-03  1.07092E-09  5.78730E-13  2.06668E+04  0.00000E+00  1.0E-05
  4.000E-03  1.21847E-09  5.77809E-13  2.06340E+04  0.00000E+00  1.0E-05
  4.250E-03  1.37554E-09  5.76832E-13  2.05991E+04  0.00000E+00  1.0E-05
  4.500E-03  1.54213E-09  5.75799E-13  2.05622E+04  0.00000E+00  1.0E-05
  4.750E-03  1.71823E-09  5.74709E-13  2.05232E+04  0.00000E+00  1.0E-05
  5.000E-03  1.90386E-09  5.73564E-13  2.04823E+04  0.00000E+00  1.0E-05
