 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element: Se,  Z =  34,  atomic weight = 7.89600E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 4.59042E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 34
 #
 # Total elastic cross section = 2.65082E-18 cm**2 = 9.46627E-02 a0**2
 # 1st transport cross section = 9.99896E-23 cm**2 = 3.57069E-06 a0**2
 # 2nd transport cross section = 2.81462E-22 cm**2 = 1.00512E-05 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  3.48850E-13  1.24577E+04  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  3.48849E-13  1.24576E+04  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  3.48849E-13  1.24576E+04  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  3.48848E-13  1.24576E+04  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  3.48847E-13  1.24576E+04  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  3.48846E-13  1.24575E+04  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  3.48845E-13  1.24575E+04  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  3.48844E-13  1.24574E+04  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  3.48842E-13  1.24574E+04  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  3.48841E-13  1.24573E+04  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  3.48839E-13  1.24573E+04  0.00000E+00  1.0E-05
  3.500E-04  9.32893E-12  3.48837E-13  1.24572E+04  0.00000E+00  1.0E-05
  3.750E-04  1.07092E-11  3.48835E-13  1.24571E+04  0.00000E+00  1.0E-05
  4.000E-04  1.21847E-11  3.48833E-13  1.24570E+04  0.00000E+00  1.0E-05
  4.250E-04  1.37554E-11  3.48831E-13  1.24570E+04  0.00000E+00  1.0E-05
  4.500E-04  1.54213E-11  3.48828E-13  1.24569E+04  0.00000E+00  1.0E-05
  4.750E-04  1.71823E-11  3.48826E-13  1.24568E+04  0.00000E+00  1.0E-05
  5.000E-04  1.90386E-11  3.48823E-13  1.24567E+04  0.00000E+00  1.0E-05
  5.250E-04  2.09900E-11  3.48820E-13  1.24566E+04  0.00000E+00  1.0E-05
  5.500E-04  2.30367E-11  3.48817E-13  1.24565E+04  0.00000E+00  1.0E-05
  5.750E-04  2.51785E-11  3.48814E-13  1.24564E+04  0.00000E+00  1.0E-05
  6.000E-04  2.74156E-11  3.48811E-13  1.24563E+04  0.00000E+00  1.0E-05
  6.250E-04  2.97478E-11  3.48807E-13  1.24561E+04  0.00000E+00  1.0E-05
  6.500E-04  3.21752E-11  3.48804E-13  1.24560E+04  0.00000E+00  1.0E-05
  6.750E-04  3.46979E-11  3.48800E-13  1.24559E+04  0.00000E+00  1.0E-05
  7.000E-04  3.73157E-11  3.48797E-13  1.24558E+04  0.00000E+00  1.0E-05
