 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element: Si,  Z =  14,  atomic weight = 2.80855E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 3.25245E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 14
 #
 # Total elastic cross section = 9.02842E-19 cm**2 = 3.22411E-02 a0**2
 # 1st transport cross section = 1.70407E-23 cm**2 = 6.08533E-07 a0**2
 # 2nd transport cross section = 4.85881E-23 cm**2 = 1.73511E-06 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  2.25653E-13  8.05821E+03  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  2.25652E-13  8.05816E+03  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  2.25651E-13  8.05814E+03  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  2.25650E-13  8.05811E+03  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  2.25649E-13  8.05808E+03  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  2.25648E-13  8.05804E+03  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  2.25647E-13  8.05799E+03  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  2.25645E-13  8.05794E+03  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  2.25644E-13  8.05789E+03  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  2.25642E-13  8.05783E+03  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  2.25640E-13  8.05777E+03  0.00000E+00  1.0E-05
  3.500E-04  9.32893E-12  2.25638E-13  8.05770E+03  0.00000E+00  1.0E-05
  3.750E-04  1.07092E-11  2.25636E-13  8.05762E+03  0.00000E+00  1.0E-05
  4.000E-04  1.21847E-11  2.25634E-13  8.05754E+03  0.00000E+00  1.0E-05
  4.250E-04  1.37554E-11  2.25632E-13  8.05746E+03  0.00000E+00  1.0E-05
  4.500E-04  1.54213E-11  2.25629E-13  8.05737E+03  0.00000E+00  1.0E-05
  4.750E-04  1.71823E-11  2.25627E-13  8.05727E+03  0.00000E+00  1.0E-05
  5.000E-04  1.90386E-11  2.25624E-13  8.05717E+03  0.00000E+00  1.0E-05
  5.250E-04  2.09900E-11  2.25621E-13  8.05706E+03  0.00000E+00  1.0E-05
  5.500E-04  2.30367E-11  2.25618E-13  8.05695E+03  0.00000E+00  1.0E-05
  5.750E-04  2.51785E-11  2.25614E-13  8.05684E+03  0.00000E+00  1.0E-05
  6.000E-04  2.74156E-11  2.25611E-13  8.05672E+03  0.00000E+00  1.0E-05
  6.250E-04  2.97478E-11  2.25608E-13  8.05659E+03  0.00000E+00  1.0E-05
  6.500E-04  3.21752E-11  2.25604E-13  8.05646E+03  0.00000E+00  1.0E-05
  6.750E-04  3.46979E-11  2.25600E-13  8.05632E+03  0.00000E+00  1.0E-05
  7.000E-04  3.73157E-11  2.25596E-13  8.05618E+03  0.00000E+00  1.0E-05
  7.250E-04  4.00286E-11  2.25592E-13  8.05604E+03  0.00000E+00  1.0E-05
  7.500E-04  4.28368E-11  2.25588E-13  8.05589E+03  0.00000E+00  1.0E-05
  7.750E-04  4.57402E-11  2.25583E-13  8.05573E+03  0.00000E+00  1.0E-05
  8.000E-04  4.87388E-11  2.25579E-13  8.05557E+03  0.00000E+00  1.0E-05
  8.250E-04  5.18325E-11  2.25574E-13  8.05540E+03  0.00000E+00  1.0E-05
  8.500E-04  5.50215E-11  2.25569E-13  8.05523E+03  0.00000E+00  1.0E-05
  8.750E-04  5.83057E-11  2.25564E-13  8.05505E+03  0.00000E+00  1.0E-05
  9.000E-04  6.16850E-11  2.25559E-13  8.05487E+03  0.00000E+00  1.0E-05
  9.250E-04  6.51595E-11  2.25554E-13  8.05468E+03  0.00000E+00  1.0E-05
  9.500E-04  6.87293E-11  2.25549E-13  8.05449E+03  0.00000E+00  1.0E-05
  9.750E-04  7.23943E-11  2.25543E-13  8.05429E+03  0.00000E+00  1.0E-05
  1.000E-03  7.61544E-11  2.25538E-13  8.05409E+03  0.00000E+00  1.0E-05
  1.250E-03  1.18991E-10  2.25473E-13  8.05179E+03  0.00000E+00  1.0E-05
  1.500E-03  1.71347E-10  2.25394E-13  8.04898E+03  0.00000E+00  1.0E-05
  1.750E-03  2.33223E-10  2.25301E-13  8.04566E+03  0.00000E+00  1.0E-05
