 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element: Sn,  Z =  50,  atomic weight = 1.18710E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 5.25871E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 50
 #
 # Total elastic cross section = 5.16862E-18 cm**2 = 1.84575E-01 a0**2
 # 1st transport cross section = 2.20674E-22 cm**2 = 7.88040E-06 a0**2
 # 2nd transport cross section = 6.12641E-22 cm**2 = 2.18778E-05 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  7.90911E-13  2.82439E+04  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  7.90908E-13  2.82438E+04  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  7.90906E-13  2.82438E+04  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  7.90903E-13  2.82437E+04  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  7.90900E-13  2.82436E+04  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  7.90897E-13  2.82434E+04  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  7.90893E-13  2.82433E+04  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  7.90889E-13  2.82431E+04  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  7.90884E-13  2.82430E+04  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  7.90879E-13  2.82428E+04  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  7.90873E-13  2.82426E+04  0.00000E+00  1.0E-05
  3.500E-04  9.32893E-12  7.90867E-13  2.82424E+04  0.00000E+00  1.0E-05
  3.750E-04  1.07092E-11  7.90860E-13  2.82421E+04  0.00000E+00  1.0E-05
  4.000E-04  1.21847E-11  7.90853E-13  2.82419E+04  0.00000E+00  1.0E-05
  4.250E-04  1.37554E-11  7.90846E-13  2.82416E+04  0.00000E+00  1.0E-05
  4.500E-04  1.54213E-11  7.90838E-13  2.82413E+04  0.00000E+00  1.0E-05
  4.750E-04  1.71823E-11  7.90829E-13  2.82410E+04  0.00000E+00  1.0E-05
  5.000E-04  1.90386E-11  7.90820E-13  2.82407E+04  0.00000E+00  1.0E-05
  5.250E-04  2.09900E-11  7.90811E-13  2.82404E+04  0.00000E+00  1.0E-05
  5.500E-04  2.30367E-11  7.90801E-13  2.82400E+04  0.00000E+00  1.0E-05
  5.750E-04  2.51785E-11  7.90791E-13  2.82397E+04  0.00000E+00  1.0E-05
  6.000E-04  2.74156E-11  7.90780E-13  2.82393E+04  0.00000E+00  1.0E-05
  6.250E-04  2.97478E-11  7.90769E-13  2.82389E+04  0.00000E+00  1.0E-05
  6.500E-04  3.21752E-11  7.90757E-13  2.82385E+04  0.00000E+00  1.0E-05
  6.750E-04  3.46979E-11  7.90745E-13  2.82380E+04  0.00000E+00  1.0E-05
  7.000E-04  3.73157E-11  7.90733E-13  2.82376E+04  0.00000E+00  1.0E-05
  7.250E-04  4.00286E-11  7.90720E-13  2.82371E+04  0.00000E+00  1.0E-05
  7.500E-04  4.28368E-11  7.90706E-13  2.82366E+04  0.00000E+00  1.0E-05
  7.750E-04  4.57402E-11  7.90692E-13  2.82361E+04  0.00000E+00  1.0E-05
  8.000E-04  4.87388E-11  7.90678E-13  2.82356E+04  0.00000E+00  1.0E-05
  8.250E-04  5.18325E-11  7.90663E-13  2.82351E+04  0.00000E+00  1.0E-05
  8.500E-04  5.50215E-11  7.90648E-13  2.82345E+04  0.00000E+00  1.0E-05
