 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element: Sr,  Z =  38,  atomic weight = 8.76200E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 4.75246E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 38
 #
 # Total elastic cross section = 3.81881E-18 cm**2 = 1.36372E-01 a0**2
 # 1st transport cross section = 1.25435E-22 cm**2 = 4.47937E-06 a0**2
 # 2nd transport cross section = 3.52016E-22 cm**2 = 1.25707E-05 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  1.14951E-12  4.10498E+04  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  1.14950E-12  4.10494E+04  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  1.14949E-12  4.10492E+04  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  1.14949E-12  4.10489E+04  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  1.14948E-12  4.10486E+04  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  1.14947E-12  4.10482E+04  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  1.14945E-12  4.10478E+04  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  1.14944E-12  4.10473E+04  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  1.14943E-12  4.10467E+04  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  1.14941E-12  4.10462E+04  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  1.14939E-12  4.10455E+04  0.00000E+00  1.0E-05
  3.500E-04  9.32893E-12  1.14937E-12  4.10448E+04  0.00000E+00  1.0E-05
  3.750E-04  1.07092E-11  1.14935E-12  4.10441E+04  0.00000E+00  1.0E-05
  4.000E-04  1.21847E-11  1.14933E-12  4.10433E+04  0.00000E+00  1.0E-05
  4.250E-04  1.37554E-11  1.14931E-12  4.10425E+04  0.00000E+00  1.0E-05
  4.500E-04  1.54213E-11  1.14928E-12  4.10416E+04  0.00000E+00  1.0E-05
  4.750E-04  1.71823E-11  1.14925E-12  4.10406E+04  0.00000E+00  1.0E-05
  5.000E-04  1.90386E-11  1.14923E-12  4.10396E+04  0.00000E+00  1.0E-05
  5.250E-04  2.09900E-11  1.14920E-12  4.10386E+04  0.00000E+00  1.0E-05
  5.500E-04  2.30367E-11  1.14917E-12  4.10375E+04  0.00000E+00  1.0E-05
  5.750E-04  2.51785E-11  1.14913E-12  4.10363E+04  0.00000E+00  1.0E-05
  6.000E-04  2.74156E-11  1.14910E-12  4.10351E+04  0.00000E+00  1.0E-05
  6.250E-04  2.97478E-11  1.14907E-12  4.10339E+04  0.00000E+00  1.0E-05
  6.500E-04  3.21752E-11  1.14903E-12  4.10326E+04  0.00000E+00  1.0E-05
  6.750E-04  3.46979E-11  1.14899E-12  4.10312E+04  0.00000E+00  1.0E-05
  7.000E-04  3.73157E-11  1.14895E-12  4.10298E+04  0.00000E+00  1.0E-05
  7.250E-04  4.00286E-11  1.14891E-12  4.10283E+04  0.00000E+00  1.0E-05
  7.500E-04  4.28368E-11  1.14887E-12  4.10268E+04  0.00000E+00  1.0E-05
  7.750E-04  4.57402E-11  1.14882E-12  4.10253E+04  0.00000E+00  1.0E-05
  8.000E-04  4.87388E-11  1.14878E-12  4.10237E+04  0.00000E+00  1.0E-05
  8.250E-04  5.18325E-11  1.14873E-12  4.10220E+04  0.00000E+00  1.0E-05
  8.500E-04  5.50215E-11  1.14868E-12  4.10203E+04  0.00000E+00  1.0E-05
  8.750E-04  5.83057E-11  1.14864E-12  4.10185E+04  0.00000E+00  1.0E-05
  9.000E-04  6.16850E-11  1.14858E-12  4.10167E+04  0.00000E+00  1.0E-05
  9.250E-04  6.51595E-11  1.14853E-12  4.10148E+04  0.00000E+00  1.0E-05
  9.500E-04  6.87293E-11  1.14848E-12  4.10129E+04  0.00000E+00  1.0E-05
  9.750E-04  7.23943E-11  1.14842E-12  4.10110E+04  0.00000E+00  1.0E-05
