 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element: Tb,  Z =  65,  atomic weight = 1.58925E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 5.79582E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 65
 #
 # Total elastic cross section = 7.26190E-18 cm**2 = 2.59327E-01 a0**2
 # 1st transport cross section = 3.82446E-22 cm**2 = 1.36574E-05 a0**2
 # 2nd transport cross section = 1.04305E-21 cm**2 = 3.72480E-05 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  1.44889E-12  5.17410E+04  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  1.44888E-12  5.17406E+04  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  1.44888E-12  5.17403E+04  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  1.44887E-12  5.17400E+04  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  1.44886E-12  5.17397E+04  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  1.44885E-12  5.17393E+04  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  1.44883E-12  5.17388E+04  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  1.44882E-12  5.17383E+04  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  1.44880E-12  5.17377E+04  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  1.44879E-12  5.17371E+04  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  1.44877E-12  5.17364E+04  0.00000E+00  1.0E-05
  3.500E-04  9.32893E-12  1.44875E-12  5.17357E+04  0.00000E+00  1.0E-05
  3.750E-04  1.07092E-11  1.44872E-12  5.17349E+04  0.00000E+00  1.0E-05
  4.000E-04  1.21847E-11  1.44870E-12  5.17341E+04  0.00000E+00  1.0E-05
  4.250E-04  1.37554E-11  1.44868E-12  5.17332E+04  0.00000E+00  1.0E-05
  4.500E-04  1.54213E-11  1.44865E-12  5.17322E+04  0.00000E+00  1.0E-05
  4.750E-04  1.71823E-11  1.44862E-12  5.17312E+04  0.00000E+00  1.0E-05
  5.000E-04  1.90386E-11  1.44859E-12  5.17302E+04  0.00000E+00  1.0E-05
  5.250E-04  2.09900E-11  1.44856E-12  5.17291E+04  0.00000E+00  1.0E-05
  5.500E-04  2.30367E-11  1.44853E-12  5.17279E+04  0.00000E+00  1.0E-05
  5.750E-04  2.51785E-11  1.44849E-12  5.17267E+04  0.00000E+00  1.0E-05
  6.000E-04  2.74156E-11  1.44846E-12  5.17254E+04  0.00000E+00  1.0E-05
  6.250E-04  2.97478E-11  1.44842E-12  5.17241E+04  0.00000E+00  1.0E-05
  6.500E-04  3.21752E-11  1.44838E-12  5.17227E+04  0.00000E+00  1.0E-05
  6.750E-04  3.46979E-11  1.44834E-12  5.17213E+04  0.00000E+00  1.0E-05
  7.000E-04  3.73157E-11  1.44830E-12  5.17198E+04  0.00000E+00  1.0E-05
  7.250E-04  4.00286E-11  1.44826E-12  5.17183E+04  0.00000E+00  1.0E-05
  7.500E-04  4.28368E-11  1.44821E-12  5.17167E+04  0.00000E+00  1.0E-05
  7.750E-04  4.57402E-11  1.44817E-12  5.17150E+04  0.00000E+00  1.0E-05
  8.000E-04  4.87388E-11  1.44812E-12  5.17133E+04  0.00000E+00  1.0E-05
  8.250E-04  5.18325E-11  1.44807E-12  5.17115E+04  0.00000E+00  1.0E-05
  8.500E-04  5.50215E-11  1.44802E-12  5.17097E+04  0.00000E+00  1.0E-05
  8.750E-04  5.83057E-11  1.44797E-12  5.17079E+04  0.00000E+00  1.0E-05
  9.000E-04  6.16850E-11  1.44791E-12  5.17059E+04  0.00000E+00  1.0E-05
  9.250E-04  6.51595E-11  1.44786E-12  5.17040E+04  0.00000E+00  1.0E-05
  9.500E-04  6.87293E-11  1.44780E-12  5.17019E+04  0.00000E+00  1.0E-05
  9.750E-04  7.23943E-11  1.44774E-12  5.16999E+04  0.00000E+00  1.0E-05
  1.000E-03  7.61544E-11  1.44768E-12  5.16977E+04  0.00000E+00  1.0E-05
  1.250E-03  1.18991E-10  1.44700E-12  5.16734E+04  0.00000E+00  1.0E-05
  1.500E-03  1.71347E-10  1.44617E-12  5.16437E+04  0.00000E+00  1.0E-05
  1.750E-03  2.33223E-10  1.44519E-12  5.16086E+04  0.00000E+00  1.0E-05
  2.000E-03  3.04617E-10  1.44406E-12  5.15681E+04  0.00000E+00  1.0E-05
  2.250E-03  3.85531E-10  1.44277E-12  5.15224E+04  0.00000E+00  1.0E-05
  2.500E-03  4.75965E-10  1.44134E-12  5.14713E+04  0.00000E+00  1.0E-05
  2.750E-03  5.75917E-10  1.43977E-12  5.14149E+04  0.00000E+00  1.0E-05
  3.000E-03  6.85389E-10  1.43804E-12  5.13533E+04  0.00000E+00  1.0E-05
  3.250E-03  8.04380E-10  1.43617E-12  5.12865E+04  0.00000E+00  1.0E-05
  3.500E-03  9.32891E-10  1.43415E-12  5.12145E+04  0.00000E+00  1.0E-05
  3.750E-03  1.07092E-09  1.43199E-12  5.11373E+04  0.00000E+00  1.0E-05
  4.000E-03  1.21847E-09  1.42969E-12  5.10551E+04  0.00000E+00  1.0E-05
  4.250E-03  1.37554E-09  1.42724E-12  5.09677E+04  0.00000E+00  1.0E-05
  4.500E-03  1.54213E-09  1.42466E-12  5.08754E+04  0.00000E+00  1.0E-05
  4.750E-03  1.71823E-09  1.42193E-12  5.07780E+04  0.00000E+00  1.0E-05
  5.000E-03  1.90386E-09  1.41907E-12  5.06758E+04  0.00000E+00  1.0E-05
  5.250E-03  2.09900E-09  1.41607E-12  5.05686E+04  0.00000E+00  1.0E-05
  5.500E-03  2.30367E-09  1.41293E-12  5.04567E+04  0.00000E+00  1.0E-05
  5.750E-03  2.51785E-09  1.40966E-12  5.03399E+04  0.00000E+00  1.0E-05
  6.000E-03  2.74156E-09  1.40626E-12  5.02185E+04  0.00000E+00  1.0E-05
  6.250E-03  2.97478E-09  1.40273E-12  5.00924E+04  0.00000E+00  1.0E-05
  6.500E-03  3.21752E-09  1.39907E-12  4.99618E+04  0.00000E+00  1.0E-05
  6.750E-03  3.46978E-09  1.39529E-12  4.98266E+04  0.00000E+00  1.0E-05
  7.000E-03  3.73156E-09  1.39138E-12  4.96869E+04  0.00000E+00  1.0E-05
  7.250E-03  4.00286E-09  1.38734E-12  4.95429E+04  0.00000E+00  1.0E-05
  7.500E-03  4.28368E-09  1.38319E-12  4.93945E+04  0.00000E+00  1.0E-05
  7.750E-03  4.57402E-09  1.37891E-12  4.92419E+04  0.00000E+00  1.0E-05
  8.000E-03  4.87388E-09  1.37452E-12  4.90852E+04  0.00000E+00  1.0E-05
  8.250E-03  5.18326E-09  1.37002E-12  4.89243E+04  0.00000E+00  1.0E-05
