 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element: Th,  Z =  90,  atomic weight = 2.32038E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.57512E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 90
 #
 # Total elastic cross section = 1.20648E-17 cm**2 = 4.30842E-01 a0**2
 # 1st transport cross section = 7.66397E-22 cm**2 = 2.73685E-05 a0**2
 # 2nd transport cross section = 2.00153E-21 cm**2 = 7.14759E-05 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  2.58944E-12  9.24705E+04  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  2.58942E-12  9.24698E+04  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  2.58941E-12  9.24695E+04  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  2.58940E-12  9.24690E+04  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  2.58938E-12  9.24685E+04  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  2.58937E-12  9.24679E+04  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  2.58935E-12  9.24672E+04  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  2.58932E-12  9.24665E+04  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  2.58930E-12  9.24656E+04  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  2.58928E-12  9.24647E+04  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  2.58925E-12  9.24637E+04  0.00000E+00  1.0E-05
  3.500E-04  9.32893E-12  2.58922E-12  9.24626E+04  0.00000E+00  1.0E-05
  3.750E-04  1.07092E-11  2.58918E-12  9.24614E+04  0.00000E+00  1.0E-05
  4.000E-04  1.21847E-11  2.58915E-12  9.24602E+04  0.00000E+00  1.0E-05
  4.250E-04  1.37554E-11  2.58911E-12  9.24588E+04  0.00000E+00  1.0E-05
  4.500E-04  1.54213E-11  2.58907E-12  9.24574E+04  0.00000E+00  1.0E-05
  4.750E-04  1.71823E-11  2.58903E-12  9.24559E+04  0.00000E+00  1.0E-05
  5.000E-04  1.90386E-11  2.58899E-12  9.24544E+04  0.00000E+00  1.0E-05
  5.250E-04  2.09900E-11  2.58894E-12  9.24527E+04  0.00000E+00  1.0E-05
  5.500E-04  2.30367E-11  2.58889E-12  9.24510E+04  0.00000E+00  1.0E-05
  5.750E-04  2.51785E-11  2.58884E-12  9.24492E+04  0.00000E+00  1.0E-05
  6.000E-04  2.74156E-11  2.58879E-12  9.24473E+04  0.00000E+00  1.0E-05
  6.250E-04  2.97478E-11  2.58873E-12  9.24453E+04  0.00000E+00  1.0E-05
  6.500E-04  3.21752E-11  2.58867E-12  9.24432E+04  0.00000E+00  1.0E-05
  6.750E-04  3.46979E-11  2.58861E-12  9.24411E+04  0.00000E+00  1.0E-05
  7.000E-04  3.73157E-11  2.58855E-12  9.24389E+04  0.00000E+00  1.0E-05
  7.250E-04  4.00286E-11  2.58849E-12  9.24366E+04  0.00000E+00  1.0E-05
  7.500E-04  4.28368E-11  2.58842E-12  9.24342E+04  0.00000E+00  1.0E-05
  7.750E-04  4.57402E-11  2.58835E-12  9.24317E+04  0.00000E+00  1.0E-05
  8.000E-04  4.87388E-11  2.58828E-12  9.24292E+04  0.00000E+00  1.0E-05
  8.250E-04  5.18325E-11  2.58821E-12  9.24266E+04  0.00000E+00  1.0E-05
  8.500E-04  5.50215E-11  2.58813E-12  9.24239E+04  0.00000E+00  1.0E-05
  8.750E-04  5.83057E-11  2.58805E-12  9.24211E+04  0.00000E+00  1.0E-05
  9.000E-04  6.16850E-11  2.58797E-12  9.24182E+04  0.00000E+00  1.0E-05
  9.250E-04  6.51595E-11  2.58789E-12  9.24153E+04  0.00000E+00  1.0E-05
  9.500E-04  6.87293E-11  2.58781E-12  9.24122E+04  0.00000E+00  1.0E-05
  9.750E-04  7.23943E-11  2.58772E-12  9.24091E+04  0.00000E+00  1.0E-05
  1.000E-03  7.61544E-11  2.58763E-12  9.24060E+04  0.00000E+00  1.0E-05
  1.250E-03  1.18991E-10  2.58661E-12  9.23696E+04  0.00000E+00  1.0E-05
  1.500E-03  1.71347E-10  2.58537E-12  9.23253E+04  0.00000E+00  1.0E-05
  1.750E-03  2.33223E-10  2.58390E-12  9.22729E+04  0.00000E+00  1.0E-05
  2.000E-03  3.04617E-10  2.58221E-12  9.22125E+04  0.00000E+00  1.0E-05
  2.250E-03  3.85531E-10  2.58030E-12  9.21442E+04  0.00000E+00  1.0E-05
  2.500E-03  4.75965E-10  2.57816E-12  9.20679E+04  0.00000E+00  1.0E-05
  2.750E-03  5.75917E-10  2.57580E-12  9.19836E+04  0.00000E+00  1.0E-05
  3.000E-03  6.85389E-10  2.57322E-12  9.18915E+04  0.00000E+00  1.0E-05
  3.250E-03  8.04380E-10  2.57043E-12  9.17915E+04  0.00000E+00  1.0E-05
  3.500E-03  9.32891E-10  2.56741E-12  9.16838E+04  0.00000E+00  1.0E-05
  3.750E-03  1.07092E-09  2.56417E-12  9.15683E+04  0.00000E+00  1.0E-05
  4.000E-03  1.21847E-09  2.56072E-12  9.14450E+04  0.00000E+00  1.0E-05
  4.250E-03  1.37554E-09  2.55706E-12  9.13141E+04  0.00000E+00  1.0E-05
  4.500E-03  1.54213E-09  2.55318E-12  9.11756E+04  0.00000E+00  1.0E-05
  4.750E-03  1.71823E-09  2.54909E-12  9.10296E+04  0.00000E+00  1.0E-05
  5.000E-03  1.90386E-09  2.54479E-12  9.08760E+04  0.00000E+00  1.0E-05
  5.250E-03  2.09900E-09  2.54028E-12  9.07150E+04  0.00000E+00  1.0E-05
  5.500E-03  2.30367E-09  2.53557E-12  9.05467E+04  0.00000E+00  1.0E-05
  5.750E-03  2.51785E-09  2.53065E-12  9.03711E+04  0.00000E+00  1.0E-05
  6.000E-03  2.74156E-09  2.52553E-12  9.01882E+04  0.00000E+00  1.0E-05
  6.250E-03  2.97478E-09  2.52021E-12  8.99983E+04  0.00000E+00  1.0E-05
  6.500E-03  3.21752E-09  2.51469E-12  8.98012E+04  0.00000E+00  1.0E-05
  6.750E-03  3.46978E-09  2.50897E-12  8.95971E+04  0.00000E+00  1.0E-05
  7.000E-03  3.73156E-09  2.50307E-12  8.93861E+04  0.00000E+00  1.0E-05
  7.250E-03  4.00286E-09  2.49697E-12  8.91683E+04  0.00000E+00  1.0E-05
  7.500E-03  4.28368E-09  2.49068E-12  8.89438E+04  0.00000E+00  1.0E-05
  7.750E-03  4.57402E-09  2.48421E-12  8.87126E+04  0.00000E+00  1.0E-05
  8.000E-03  4.87388E-09  2.47755E-12  8.84748E+04  0.00000E+00  1.0E-05
  8.250E-03  5.18326E-09  2.47071E-12  8.82306E+04  0.00000E+00  1.0E-05
  8.500E-03  5.50215E-09  2.46369E-12  8.79799E+04  0.00000E+00  1.0E-05
  8.750E-03  5.83057E-09  2.45650E-12  8.77230E+04  0.00000E+00  1.0E-05
  9.000E-03  6.16850E-09  2.44913E-12  8.74600E+04  0.00000E+00  1.0E-05
  9.250E-03  6.51596E-09  2.44159E-12  8.71908E+04  0.00000E+00  1.0E-05
  9.500E-03  6.87293E-09  2.43389E-12  8.69156E+04  0.00000E+00  1.0E-05
  9.750E-03  7.23942E-09  2.42602E-12  8.66346E+04  0.00000E+00  1.0E-05
  1.000E-02  7.61544E-09  2.41798E-12  8.63478E+04  0.00000E+00  1.0E-05
  1.250E-02  1.18991E-08  2.32945E-12  8.31860E+04  0.00000E+00  1.0E-05
  1.500E-02  1.71347E-08  2.22823E-12  7.95715E+04  0.00000E+00  1.0E-05
  1.750E-02  2.33223E-08  2.11756E-12  7.56196E+04  0.00000E+00  1.0E-05
  2.000E-02  3.04617E-08  2.00068E-12  7.14455E+04  0.00000E+00  1.0E-05
  2.250E-02  3.85531E-08  1.88066E-12  6.71597E+04  0.00000E+00  1.0E-05
  2.500E-02  4.75965E-08  1.76020E-12  6.28577E+04  0.00000E+00  1.0E-05
  2.750E-02  5.75917E-08  1.64145E-12  5.86172E+04  0.00000E+00  1.0E-05
  3.000E-02  6.85389E-08  1.52620E-12  5.45017E+04  0.00000E+00  1.0E-05
  3.250E-02  8.04380E-08  1.41590E-12  5.05626E+04  0.00000E+00  1.0E-05
  3.500E-02  9.32891E-08  1.31152E-12  4.68353E+04  0.00000E+00  1.0E-05
  3.750E-02  1.07092E-07  1.21352E-12  4.33356E+04  0.00000E+00  1.0E-05
  4.000E-02  1.21847E-07  1.12218E-12  4.00739E+04  0.00000E+00  1.0E-05
  4.250E-02  1.37554E-07  1.03761E-12  3.70537E+04  0.00000E+00  1.0E-05
  4.500E-02  1.54213E-07  9.59749E-13  3.42733E+04  0.00000E+00  1.0E-05
  4.750E-02  1.71823E-07  8.88200E-13  3.17182E+04  0.00000E+00  1.0E-05
  5.000E-02  1.90386E-07  8.22634E-13  2.93768E+04  0.00000E+00  1.0E-05
  5.250E-02  2.09900E-07  7.62675E-13  2.72356E+04  0.00000E+00  1.0E-05
  5.500E-02  2.30367E-07  7.07953E-13  2.52815E+04  0.00000E+00  1.0E-05
  5.750E-02  2.51785E-07  6.57964E-13  2.34963E+04  0.00000E+00  1.0E-05
  6.000E-02  2.74156E-07  6.12311E-13  2.18660E+04  0.00000E+00  1.0E-05
  6.250E-02  2.97478E-07  5.70614E-13  2.03770E+04  0.00000E+00  1.0E-05
  6.500E-02  3.21752E-07  5.32478E-13  1.90151E+04  0.00000E+00  1.0E-05
  6.750E-02  3.46978E-07  4.97561E-13  1.77682E+04  0.00000E+00  1.0E-05
  7.000E-02  3.73156E-07  4.65567E-13  1.66257E+04  0.00000E+00  1.0E-05
  7.250E-02  4.00286E-07  4.36218E-13  1.55776E+04  0.00000E+00  1.0E-05
  7.500E-02  4.28368E-07  4.09215E-13  1.46133E+04  0.00000E+00  1.0E-05
  7.750E-02  4.57402E-07  3.84337E-13  1.37249E+04  0.00000E+00  1.0E-05
