 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element: Ti,  Z =  22,  atomic weight = 4.78670E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 3.88504E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 22
 #
 # Total elastic cross section = 1.92914E-18 cm**2 = 6.88909E-02 a0**2
 # 1st transport cross section = 4.19887E-23 cm**2 = 1.49944E-06 a0**2
 # 2nd transport cross section = 1.19196E-22 cm**2 = 4.25657E-06 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  5.19827E-13  1.85634E+04  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  5.19823E-13  1.85632E+04  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  5.19821E-13  1.85631E+04  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  5.19818E-13  1.85631E+04  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  5.19815E-13  1.85629E+04  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  5.19812E-13  1.85628E+04  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  5.19808E-13  1.85627E+04  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  5.19803E-13  1.85625E+04  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  5.19798E-13  1.85623E+04  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  5.19793E-13  1.85621E+04  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  5.19787E-13  1.85619E+04  0.00000E+00  1.0E-05
  3.500E-04  9.32893E-12  5.19780E-13  1.85617E+04  0.00000E+00  1.0E-05
  3.750E-04  1.07092E-11  5.19773E-13  1.85614E+04  0.00000E+00  1.0E-05
  4.000E-04  1.21847E-11  5.19766E-13  1.85612E+04  0.00000E+00  1.0E-05
  4.250E-04  1.37554E-11  5.19758E-13  1.85609E+04  0.00000E+00  1.0E-05
  4.500E-04  1.54213E-11  5.19750E-13  1.85606E+04  0.00000E+00  1.0E-05
  4.750E-04  1.71823E-11  5.19741E-13  1.85603E+04  0.00000E+00  1.0E-05
  5.000E-04  1.90386E-11  5.19732E-13  1.85600E+04  0.00000E+00  1.0E-05
  5.250E-04  2.09900E-11  5.19722E-13  1.85596E+04  0.00000E+00  1.0E-05
  5.500E-04  2.30367E-11  5.19712E-13  1.85592E+04  0.00000E+00  1.0E-05
  5.750E-04  2.51785E-11  5.19701E-13  1.85589E+04  0.00000E+00  1.0E-05
  6.000E-04  2.74156E-11  5.19690E-13  1.85585E+04  0.00000E+00  1.0E-05
  6.250E-04  2.97478E-11  5.19678E-13  1.85580E+04  0.00000E+00  1.0E-05
  6.500E-04  3.21752E-11  5.19666E-13  1.85576E+04  0.00000E+00  1.0E-05
  6.750E-04  3.46979E-11  5.19653E-13  1.85572E+04  0.00000E+00  1.0E-05
