 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element: Tl,  Z =  81,  atomic weight = 2.04383E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.30278E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 81
 #
 # Total elastic cross section = 8.41950E-18 cm**2 = 3.00666E-01 a0**2
 # 1st transport cross section = 6.10321E-22 cm**2 = 2.17950E-05 a0**2
 # 2nd transport cross section = 1.62211E-21 cm**2 = 5.79265E-05 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  1.00117E-12  3.57526E+04  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  1.00117E-12  3.57524E+04  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  1.00117E-12  3.57523E+04  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  1.00116E-12  3.57522E+04  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  1.00116E-12  3.57521E+04  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  1.00116E-12  3.57519E+04  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  1.00115E-12  3.57518E+04  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  1.00115E-12  3.57516E+04  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  1.00114E-12  3.57514E+04  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  1.00113E-12  3.57511E+04  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  1.00113E-12  3.57509E+04  0.00000E+00  1.0E-05
  3.500E-04  9.32893E-12  1.00112E-12  3.57506E+04  0.00000E+00  1.0E-05
  3.750E-04  1.07092E-11  1.00111E-12  3.57503E+04  0.00000E+00  1.0E-05
  4.000E-04  1.21847E-11  1.00110E-12  3.57500E+04  0.00000E+00  1.0E-05
  4.250E-04  1.37554E-11  1.00109E-12  3.57496E+04  0.00000E+00  1.0E-05
  4.500E-04  1.54213E-11  1.00108E-12  3.57493E+04  0.00000E+00  1.0E-05
  4.750E-04  1.71823E-11  1.00107E-12  3.57489E+04  0.00000E+00  1.0E-05
  5.000E-04  1.90386E-11  1.00106E-12  3.57485E+04  0.00000E+00  1.0E-05
  5.250E-04  2.09900E-11  1.00105E-12  3.57481E+04  0.00000E+00  1.0E-05
  5.500E-04  2.30367E-11  1.00104E-12  3.57476E+04  0.00000E+00  1.0E-05
  5.750E-04  2.51785E-11  1.00102E-12  3.57472E+04  0.00000E+00  1.0E-05
