 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element: Tm,  Z =  69,  atomic weight = 1.68934E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 5.91502E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 69
 #
 # Total elastic cross section = 7.13649E-18 cm**2 = 2.54849E-01 a0**2
 # 1st transport cross section = 4.33552E-22 cm**2 = 1.54824E-05 a0**2
 # 2nd transport cross section = 1.17554E-21 cm**2 = 4.19792E-05 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  1.23126E-12  4.39691E+04  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  1.23125E-12  4.39688E+04  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  1.23125E-12  4.39686E+04  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  1.23124E-12  4.39684E+04  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  1.23123E-12  4.39681E+04  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  1.23122E-12  4.39678E+04  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  1.23121E-12  4.39674E+04  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  1.23120E-12  4.39670E+04  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  1.23119E-12  4.39666E+04  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  1.23118E-12  4.39661E+04  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  1.23116E-12  4.39656E+04  0.00000E+00  1.0E-05
  3.500E-04  9.32893E-12  1.23115E-12  4.39650E+04  0.00000E+00  1.0E-05
  3.750E-04  1.07092E-11  1.23113E-12  4.39644E+04  0.00000E+00  1.0E-05
  4.000E-04  1.21847E-11  1.23111E-12  4.39637E+04  0.00000E+00  1.0E-05
  4.250E-04  1.37554E-11  1.23109E-12  4.39631E+04  0.00000E+00  1.0E-05
  4.500E-04  1.54213E-11  1.23107E-12  4.39623E+04  0.00000E+00  1.0E-05
  4.750E-04  1.71823E-11  1.23105E-12  4.39615E+04  0.00000E+00  1.0E-05
  5.000E-04  1.90386E-11  1.23103E-12  4.39607E+04  0.00000E+00  1.0E-05
  5.250E-04  2.09900E-11  1.23100E-12  4.39599E+04  0.00000E+00  1.0E-05
  5.500E-04  2.30367E-11  1.23098E-12  4.39590E+04  0.00000E+00  1.0E-05
  5.750E-04  2.51785E-11  1.23095E-12  4.39580E+04  0.00000E+00  1.0E-05
  6.000E-04  2.74156E-11  1.23092E-12  4.39570E+04  0.00000E+00  1.0E-05
  6.250E-04  2.97478E-11  1.23089E-12  4.39560E+04  0.00000E+00  1.0E-05
  6.500E-04  3.21752E-11  1.23086E-12  4.39549E+04  0.00000E+00  1.0E-05
  6.750E-04  3.46979E-11  1.23083E-12  4.39538E+04  0.00000E+00  1.0E-05
  7.000E-04  3.73157E-11  1.23080E-12  4.39526E+04  0.00000E+00  1.0E-05
  7.250E-04  4.00286E-11  1.23077E-12  4.39514E+04  0.00000E+00  1.0E-05
  7.500E-04  4.28368E-11  1.23073E-12  4.39502E+04  0.00000E+00  1.0E-05
  7.750E-04  4.57402E-11  1.23069E-12  4.39489E+04  0.00000E+00  1.0E-05
  8.000E-04  4.87388E-11  1.23066E-12  4.39476E+04  0.00000E+00  1.0E-05
  8.250E-04  5.18325E-11  1.23062E-12  4.39462E+04  0.00000E+00  1.0E-05
  8.500E-04  5.50215E-11  1.23058E-12  4.39448E+04  0.00000E+00  1.0E-05
  8.750E-04  5.83057E-11  1.23054E-12  4.39434E+04  0.00000E+00  1.0E-05
  9.000E-04  6.16850E-11  1.23050E-12  4.39419E+04  0.00000E+00  1.0E-05
  9.250E-04  6.51595E-11  1.23045E-12  4.39403E+04  0.00000E+00  1.0E-05
  9.500E-04  6.87293E-11  1.23041E-12  4.39387E+04  0.00000E+00  1.0E-05
  9.750E-04  7.23943E-11  1.23036E-12  4.39371E+04  0.00000E+00  1.0E-05
  1.000E-03  7.61544E-11  1.23032E-12  4.39355E+04  0.00000E+00  1.0E-05
  1.250E-03  1.18991E-10  1.22979E-12  4.39165E+04  0.00000E+00  1.0E-05
  1.500E-03  1.71347E-10  1.22914E-12  4.38934E+04  0.00000E+00  1.0E-05
  1.750E-03  2.33223E-10  1.22838E-12  4.38661E+04  0.00000E+00  1.0E-05
  2.000E-03  3.04617E-10  1.22749E-12  4.38346E+04  0.00000E+00  1.0E-05
  2.250E-03  3.85531E-10  1.22650E-12  4.37990E+04  0.00000E+00  1.0E-05
  2.500E-03  4.75965E-10  1.22538E-12  4.37592E+04  0.00000E+00  1.0E-05
  2.750E-03  5.75917E-10  1.22415E-12  4.37153E+04  0.00000E+00  1.0E-05
  3.000E-03  6.85389E-10  1.22281E-12  4.36673E+04  0.00000E+00  1.0E-05
