 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element:  W,  Z =  74,  atomic weight = 1.83840E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.08411E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 74
 #
 # Total elastic cross section = 7.64553E-18 cm**2 = 2.73027E-01 a0**2
 # 1st transport cross section = 5.02972E-22 cm**2 = 1.79615E-05 a0**2
 # 2nd transport cross section = 1.35312E-21 cm**2 = 4.83209E-05 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  1.01077E-12  3.60952E+04  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  1.01076E-12  3.60950E+04  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  1.01076E-12  3.60950E+04  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  1.01076E-12  3.60948E+04  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  1.01075E-12  3.60947E+04  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  1.01075E-12  3.60946E+04  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  1.01075E-12  3.60944E+04  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  1.01074E-12  3.60942E+04  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  1.01073E-12  3.60940E+04  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  1.01073E-12  3.60938E+04  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  1.01072E-12  3.60935E+04  0.00000E+00  1.0E-05
  3.500E-04  9.32893E-12  1.01071E-12  3.60932E+04  0.00000E+00  1.0E-05
  3.750E-04  1.07092E-11  1.01071E-12  3.60929E+04  0.00000E+00  1.0E-05
  4.000E-04  1.21847E-11  1.01070E-12  3.60926E+04  0.00000E+00  1.0E-05
  4.250E-04  1.37554E-11  1.01069E-12  3.60923E+04  0.00000E+00  1.0E-05
  4.500E-04  1.54213E-11  1.01068E-12  3.60920E+04  0.00000E+00  1.0E-05
  4.750E-04  1.71823E-11  1.01067E-12  3.60916E+04  0.00000E+00  1.0E-05
  5.000E-04  1.90386E-11  1.01066E-12  3.60912E+04  0.00000E+00  1.0E-05
  5.250E-04  2.09900E-11  1.01064E-12  3.60908E+04  0.00000E+00  1.0E-05
  5.500E-04  2.30367E-11  1.01063E-12  3.60903E+04  0.00000E+00  1.0E-05
  5.750E-04  2.51785E-11  1.01062E-12  3.60899E+04  0.00000E+00  1.0E-05
  6.000E-04  2.74156E-11  1.01061E-12  3.60894E+04  0.00000E+00  1.0E-05
  6.250E-04  2.97478E-11  1.01059E-12  3.60889E+04  0.00000E+00  1.0E-05
  6.500E-04  3.21752E-11  1.01058E-12  3.60884E+04  0.00000E+00  1.0E-05
  6.750E-04  3.46979E-11  1.01056E-12  3.60879E+04  0.00000E+00  1.0E-05
  7.000E-04  3.73157E-11  1.01055E-12  3.60873E+04  0.00000E+00  1.0E-05
  7.250E-04  4.00286E-11  1.01053E-12  3.60868E+04  0.00000E+00  1.0E-05
  7.500E-04  4.28368E-11  1.01052E-12  3.60862E+04  0.00000E+00  1.0E-05
  7.750E-04  4.57402E-11  1.01050E-12  3.60855E+04  0.00000E+00  1.0E-05
  8.000E-04  4.87388E-11  1.01048E-12  3.60849E+04  0.00000E+00  1.0E-05
  8.250E-04  5.18325E-11  1.01046E-12  3.60843E+04  0.00000E+00  1.0E-05
  8.500E-04  5.50215E-11  1.01044E-12  3.60836E+04  0.00000E+00  1.0E-05
  8.750E-04  5.83057E-11  1.01042E-12  3.60829E+04  0.00000E+00  1.0E-05
  9.000E-04  6.16850E-11  1.01040E-12  3.60822E+04  0.00000E+00  1.0E-05
  9.250E-04  6.51595E-11  1.01038E-12  3.60814E+04  0.00000E+00  1.0E-05
  9.500E-04  6.87293E-11  1.01036E-12  3.60807E+04  0.00000E+00  1.0E-05
  9.750E-04  7.23943E-11  1.01034E-12  3.60799E+04  0.00000E+00  1.0E-05
  1.000E-03  7.61544E-11  1.01032E-12  3.60791E+04  0.00000E+00  1.0E-05
  1.250E-03  1.18991E-10  1.01006E-12  3.60700E+04  0.00000E+00  1.0E-05
  1.500E-03  1.71347E-10  1.00975E-12  3.60590E+04  0.00000E+00  1.0E-05
  1.750E-03  2.33223E-10  1.00939E-12  3.60459E+04  0.00000E+00  1.0E-05
  2.000E-03  3.04617E-10  1.00897E-12  3.60308E+04  0.00000E+00  1.0E-05
