 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element:  Y,  Z =  39,  atomic weight = 8.89059E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 4.77559E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 39
 #
 # Total elastic cross section = 4.00414E-18 cm**2 = 1.42990E-01 a0**2
 # 1st transport cross section = 1.32300E-22 cm**2 = 4.72453E-06 a0**2
 # 2nd transport cross section = 3.70987E-22 cm**2 = 1.32482E-05 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  1.07241E-12  3.82963E+04  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  1.07240E-12  3.82960E+04  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  1.07239E-12  3.82958E+04  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  1.07239E-12  3.82956E+04  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  1.07238E-12  3.82953E+04  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  1.07237E-12  3.82950E+04  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  1.07236E-12  3.82947E+04  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  1.07235E-12  3.82943E+04  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  1.07234E-12  3.82939E+04  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  1.07233E-12  3.82935E+04  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  1.07231E-12  3.82930E+04  0.00000E+00  1.0E-05
  3.500E-04  9.32893E-12  1.07230E-12  3.82924E+04  0.00000E+00  1.0E-05
  3.750E-04  1.07092E-11  1.07228E-12  3.82919E+04  0.00000E+00  1.0E-05
  4.000E-04  1.21847E-11  1.07226E-12  3.82913E+04  0.00000E+00  1.0E-05
  4.250E-04  1.37554E-11  1.07225E-12  3.82906E+04  0.00000E+00  1.0E-05
  4.500E-04  1.54213E-11  1.07223E-12  3.82899E+04  0.00000E+00  1.0E-05
  4.750E-04  1.71823E-11  1.07221E-12  3.82892E+04  0.00000E+00  1.0E-05
  5.000E-04  1.90386E-11  1.07218E-12  3.82884E+04  0.00000E+00  1.0E-05
  5.250E-04  2.09900E-11  1.07216E-12  3.82876E+04  0.00000E+00  1.0E-05
  5.500E-04  2.30367E-11  1.07214E-12  3.82868E+04  0.00000E+00  1.0E-05
  5.750E-04  2.51785E-11  1.07211E-12  3.82859E+04  0.00000E+00  1.0E-05
  6.000E-04  2.74156E-11  1.07209E-12  3.82849E+04  0.00000E+00  1.0E-05
  6.250E-04  2.97478E-11  1.07206E-12  3.82840E+04  0.00000E+00  1.0E-05
  6.500E-04  3.21752E-11  1.07203E-12  3.82830E+04  0.00000E+00  1.0E-05
  6.750E-04  3.46979E-11  1.07200E-12  3.82819E+04  0.00000E+00  1.0E-05
  7.000E-04  3.73157E-11  1.07197E-12  3.82808E+04  0.00000E+00  1.0E-05
  7.250E-04  4.00286E-11  1.07194E-12  3.82797E+04  0.00000E+00  1.0E-05
  7.500E-04  4.28368E-11  1.07191E-12  3.82786E+04  0.00000E+00  1.0E-05
  7.750E-04  4.57402E-11  1.07188E-12  3.82774E+04  0.00000E+00  1.0E-05
  8.000E-04  4.87388E-11  1.07184E-12  3.82761E+04  0.00000E+00  1.0E-05
  8.250E-04  5.18325E-11  1.07180E-12  3.82748E+04  0.00000E+00  1.0E-05
  8.500E-04  5.50215E-11  1.07177E-12  3.82735E+04  0.00000E+00  1.0E-05
  8.750E-04  5.83057E-11  1.07173E-12  3.82721E+04  0.00000E+00  1.0E-05
  9.000E-04  6.16850E-11  1.07169E-12  3.82707E+04  0.00000E+00  1.0E-05
  9.250E-04  6.51595E-11  1.07165E-12  3.82693E+04  0.00000E+00  1.0E-05
  9.500E-04  6.87293E-11  1.07161E-12  3.82678E+04  0.00000E+00  1.0E-05
  9.750E-04  7.23943E-11  1.07157E-12  3.82663E+04  0.00000E+00  1.0E-05
  1.000E-03  7.61544E-11  1.07152E-12  3.82648E+04  0.00000E+00  1.0E-05
  1.250E-03  1.18991E-10  1.07103E-12  3.82470E+04  0.00000E+00  1.0E-05
  1.500E-03  1.71347E-10  1.07042E-12  3.82254E+04  0.00000E+00  1.0E-05
  1.750E-03  2.33223E-10  1.06970E-12  3.81998E+04  0.00000E+00  1.0E-05
  2.000E-03  3.04617E-10  1.06888E-12  3.81703E+04  0.00000E+00  1.0E-05
  2.250E-03  3.85531E-10  1.06794E-12  3.81369E+04  0.00000E+00  1.0E-05
  2.500E-03  4.75965E-10  1.06690E-12  3.80997E+04  0.00000E+00  1.0E-05
  2.750E-03  5.75917E-10  1.06575E-12  3.80585E+04  0.00000E+00  1.0E-05
  3.000E-03  6.85389E-10  1.06449E-12  3.80136E+04  0.00000E+00  1.0E-05
  3.250E-03  8.04380E-10  1.06312E-12  3.79648E+04  0.00000E+00  1.0E-05
  3.500E-03  9.32891E-10  1.06165E-12  3.79123E+04  0.00000E+00  1.0E-05
  3.750E-03  1.07092E-09  1.06007E-12  3.78559E+04  0.00000E+00  1.0E-05
  4.000E-03  1.21847E-09  1.05839E-12  3.77959E+04  0.00000E+00  1.0E-05
  4.250E-03  1.37554E-09  1.05661E-12  3.77321E+04  0.00000E+00  1.0E-05
  4.500E-03  1.54213E-09  1.05472E-12  3.76646E+04  0.00000E+00  1.0E-05
  4.750E-03  1.71823E-09  1.05272E-12  3.75935E+04  0.00000E+00  1.0E-05
  5.000E-03  1.90386E-09  1.05063E-12  3.75187E+04  0.00000E+00  1.0E-05
  5.250E-03  2.09900E-09  1.04844E-12  3.74404E+04  0.00000E+00  1.0E-05
  5.500E-03  2.30367E-09  1.04614E-12  3.73585E+04  0.00000E+00  1.0E-05
  5.750E-03  2.51785E-09  1.04375E-12  3.72731E+04  0.00000E+00  1.0E-05
  6.000E-03  2.74156E-09  1.04126E-12  3.71842E+04  0.00000E+00  1.0E-05
  6.250E-03  2.97478E-09  1.03868E-12  3.70919E+04  0.00000E+00  1.0E-05
  6.500E-03  3.21752E-09  1.03600E-12  3.69962E+04  0.00000E+00  1.0E-05
  6.750E-03  3.46978E-09  1.03322E-12  3.68971E+04  0.00000E+00  1.0E-05
  7.000E-03  3.73156E-09  1.03036E-12  3.67947E+04  0.00000E+00  1.0E-05
  7.250E-03  4.00286E-09  1.02740E-12  3.66891E+04  0.00000E+00  1.0E-05
  7.500E-03  4.28368E-09  1.02435E-12  3.65803E+04  0.00000E+00  1.0E-05
  7.750E-03  4.57402E-09  1.02121E-12  3.64682E+04  0.00000E+00  1.0E-05
  8.000E-03  4.87388E-09  1.01799E-12  3.63531E+04  0.00000E+00  1.0E-05
  8.250E-03  5.18326E-09  1.01468E-12  3.62349E+04  0.00000E+00  1.0E-05
  8.500E-03  5.50215E-09  1.01129E-12  3.61137E+04  0.00000E+00  1.0E-05
  8.750E-03  5.83057E-09  1.00781E-12  3.59895E+04  0.00000E+00  1.0E-05
  9.000E-03  6.16850E-09  1.00425E-12  3.58625E+04  0.00000E+00  1.0E-05
  9.250E-03  6.51596E-09  1.00061E-12  3.57325E+04  0.00000E+00  1.0E-05
  9.500E-03  6.87293E-09  9.96895E-13  3.55998E+04  0.00000E+00  1.0E-05
  9.750E-03  7.23942E-09  9.93101E-13  3.54643E+04  0.00000E+00  1.0E-05
  1.000E-02  7.61544E-09  9.89231E-13  3.53261E+04  0.00000E+00  1.0E-05
  1.250E-02  1.18991E-08  9.46753E-13  3.38091E+04  0.00000E+00  1.0E-05
  1.500E-02  1.71347E-08  8.98661E-13  3.20918E+04  0.00000E+00  1.0E-05
  1.750E-02  2.33223E-08  8.46542E-13  3.02306E+04  0.00000E+00  1.0E-05
  2.000E-02  3.04617E-08  7.92062E-13  2.82850E+04  0.00000E+00  1.0E-05
  2.250E-02  3.85531E-08  7.36864E-13  2.63139E+04  0.00000E+00  1.0E-05
  2.500E-02  4.75965E-08  6.82229E-13  2.43628E+04  0.00000E+00  1.0E-05
  2.750E-02  5.75917E-08  6.29092E-13  2.24653E+04  0.00000E+00  1.0E-05
  3.000E-02  6.85389E-08  5.78235E-13  2.06491E+04  0.00000E+00  1.0E-05
  3.250E-02  8.04380E-08  5.30335E-13  1.89386E+04  0.00000E+00  1.0E-05
  3.500E-02  9.32891E-08  4.85790E-13  1.73479E+04  0.00000E+00  1.0E-05
  3.750E-02  1.07092E-07  4.44589E-13  1.58766E+04  0.00000E+00  1.0E-05
  4.000E-02  1.21847E-07  4.06766E-13  1.45259E+04  0.00000E+00  1.0E-05
  4.250E-02  1.37554E-07  3.72303E-13  1.32952E+04  0.00000E+00  1.0E-05
  4.500E-02  1.54213E-07  3.41157E-13  1.21829E+04  0.00000E+00  1.0E-05
  4.750E-02  1.71823E-07  3.12947E-13  1.11755E+04  0.00000E+00  1.0E-05
  5.000E-02  1.90386E-07  2.87461E-13  1.02654E+04  0.00000E+00  1.0E-05
  5.250E-02  2.09900E-07  2.64481E-13  9.44478E+03  0.00000E+00  1.0E-05
  5.500E-02  2.30367E-07  2.43872E-13  8.70883E+03  0.00000E+00  1.0E-05
  5.750E-02  2.51785E-07  2.25277E-13  8.04478E+03  0.00000E+00  1.0E-05
  6.000E-02  2.74156E-07  2.08495E-13  7.44550E+03  0.00000E+00  1.0E-05
  6.250E-02  2.97478E-07  1.93341E-13  6.90435E+03  0.00000E+00  1.0E-05
  6.500E-02  3.21752E-07  1.79668E-13  6.41605E+03  0.00000E+00  1.0E-05
  6.750E-02  3.46978E-07  1.67273E-13  5.97342E+03  0.00000E+00  1.0E-05
  7.000E-02  3.73156E-07  1.56014E-13  5.57135E+03  0.00000E+00  1.0E-05
  7.250E-02  4.00286E-07  1.45769E-13  5.20550E+03  0.00000E+00  1.0E-05
  7.500E-02  4.28368E-07  1.36427E-13  4.87189E+03  0.00000E+00  1.0E-05
  7.750E-02  4.57402E-07  1.27880E-13  4.56667E+03  0.00000E+00  1.0E-05
  8.000E-02  4.87388E-07  1.20045E-13  4.28688E+03  0.00000E+00  1.0E-05
  8.250E-02  5.18325E-07  1.12849E-13  4.02991E+03  0.00000E+00  1.0E-05
  8.500E-02  5.50215E-07  1.06219E-13  3.79314E+03  0.00000E+00  1.0E-05
  8.750E-02  5.83057E-07  1.00090E-13  3.57427E+03  0.00000E+00  1.0E-05
  9.000E-02  6.16850E-07  9.44220E-14  3.37187E+03  0.00000E+00  1.0E-05
  9.250E-02  6.51596E-07  8.91719E-14  3.18439E+03  0.00000E+00  1.0E-05
  9.500E-02  6.87293E-07  8.42951E-14  3.01023E+03  0.00000E+00  1.0E-05
  9.750E-02  7.23942E-07  7.97440E-14  2.84771E+03  0.00000E+00  1.0E-05
  1.000E-01  7.61543E-07  7.55055E-14  2.69635E+03  0.00000E+00  1.0E-05
