 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element: Yb,  Z =  70,  atomic weight = 1.73040E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 5.96256E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 70
 #
 # Total elastic cross section = 7.10318E-18 cm**2 = 2.53659E-01 a0**2
 # 1st transport cross section = 4.46863E-22 cm**2 = 1.59578E-05 a0**2
 # 2nd transport cross section = 1.20978E-21 cm**2 = 4.32021E-05 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  1.18378E-12  4.22735E+04  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  1.18377E-12  4.22732E+04  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  1.18376E-12  4.22730E+04  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  1.18376E-12  4.22728E+04  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  1.18375E-12  4.22725E+04  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  1.18374E-12  4.22722E+04  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  1.18373E-12  4.22719E+04  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  1.18372E-12  4.22715E+04  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  1.18371E-12  4.22711E+04  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  1.18370E-12  4.22707E+04  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  1.18369E-12  4.22702E+04  0.00000E+00  1.0E-05
  3.500E-04  9.32893E-12  1.18367E-12  4.22696E+04  0.00000E+00  1.0E-05
  3.750E-04  1.07092E-11  1.18365E-12  4.22691E+04  0.00000E+00  1.0E-05
  4.000E-04  1.21847E-11  1.18364E-12  4.22684E+04  0.00000E+00  1.0E-05
  4.250E-04  1.37554E-11  1.18362E-12  4.22678E+04  0.00000E+00  1.0E-05
  4.500E-04  1.54213E-11  1.18360E-12  4.22671E+04  0.00000E+00  1.0E-05
  4.750E-04  1.71823E-11  1.18358E-12  4.22664E+04  0.00000E+00  1.0E-05
  5.000E-04  1.90386E-11  1.18356E-12  4.22656E+04  0.00000E+00  1.0E-05
  5.250E-04  2.09900E-11  1.18353E-12  4.22648E+04  0.00000E+00  1.0E-05
  5.500E-04  2.30367E-11  1.18351E-12  4.22639E+04  0.00000E+00  1.0E-05
  5.750E-04  2.51785E-11  1.18349E-12  4.22630E+04  0.00000E+00  1.0E-05
  6.000E-04  2.74156E-11  1.18346E-12  4.22621E+04  0.00000E+00  1.0E-05
  6.250E-04  2.97478E-11  1.18343E-12  4.22611E+04  0.00000E+00  1.0E-05
  6.500E-04  3.21752E-11  1.18340E-12  4.22601E+04  0.00000E+00  1.0E-05
  6.750E-04  3.46979E-11  1.18337E-12  4.22591E+04  0.00000E+00  1.0E-05
  7.000E-04  3.73157E-11  1.18334E-12  4.22580E+04  0.00000E+00  1.0E-05
  7.250E-04  4.00286E-11  1.18331E-12  4.22569E+04  0.00000E+00  1.0E-05
  7.500E-04  4.28368E-11  1.18328E-12  4.22557E+04  0.00000E+00  1.0E-05
  7.750E-04  4.57402E-11  1.18325E-12  4.22545E+04  0.00000E+00  1.0E-05
  8.000E-04  4.87388E-11  1.18321E-12  4.22532E+04  0.00000E+00  1.0E-05
  8.250E-04  5.18325E-11  1.18317E-12  4.22519E+04  0.00000E+00  1.0E-05
  8.500E-04  5.50215E-11  1.18314E-12  4.22506E+04  0.00000E+00  1.0E-05
  8.750E-04  5.83057E-11  1.18310E-12  4.22492E+04  0.00000E+00  1.0E-05
  9.000E-04  6.16850E-11  1.18306E-12  4.22478E+04  0.00000E+00  1.0E-05
  9.250E-04  6.51595E-11  1.18302E-12  4.22464E+04  0.00000E+00  1.0E-05
  9.500E-04  6.87293E-11  1.18298E-12  4.22449E+04  0.00000E+00  1.0E-05
  9.750E-04  7.23943E-11  1.18294E-12  4.22434E+04  0.00000E+00  1.0E-05
  1.000E-03  7.61544E-11  1.18289E-12  4.22418E+04  0.00000E+00  1.0E-05
  1.250E-03  1.18991E-10  1.18239E-12  4.22240E+04  0.00000E+00  1.0E-05
  1.500E-03  1.71347E-10  1.18178E-12  4.22022E+04  0.00000E+00  1.0E-05
